# bitcoin dns seeds and whois results
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.36.166.18|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.37.52.87|701|100.37.0.0/16|US|arin|2010-12-28|UUNET, US
101.114.168.199|133612|101.114.160.0/19|AU|apnic|2010-12-14|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
108.72.60.151|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.255.6.79|6830|109.255.0.0/17|IE|ripencc|2009-12-14|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
118.92.127.136|9500|118.92.0.0/16|NZ|apnic|2007-08-24|VODAFONE-TRANSIT-AS Vodafone NZ Ltd., NZ
13.212.145.209|16509|13.212.0.0/15|US|arin|2019-10-01|AMAZON-02, US
13.231.153.130|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US
130.185.109.17|51191|130.185.104.0/21|DE|ripencc|2011-10-24|XIRRA, DE
134.122.40.31|14061|134.122.32.0/20|US|arin|2019-09-06|DIGITALOCEAN-ASN, US
134.19.118.183|57353|134.19.0.0/17|DE|ripencc|2011-11-03|VITROCONNECT-AS, DE
142.132.171.166|24940|142.132.128.0/17|DE|ripencc|1990-03-26|HETZNER-AS, DE
143.110.238.129|14061|143.110.224.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
143.177.229.149|50266|143.177.0.0/16|NL|ripencc|1990-10-01|TMOBILE-THUIS, NL
147.135.252.43|16276|147.135.128.0/17|FR|ripencc|2017-03-22|OVH, FR
147.182.165.9|14061|147.182.160.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
15.185.209.73|16509|15.185.0.0/16|US|arin|2021-01-28|AMAZON-02, US
159.203.36.176|14061|159.203.32.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.223.222.18|14061|159.223.208.0/20|US|arin|2020-11-03|DIGITALOCEAN-ASN, US
159.65.95.133|14061|159.65.80.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
161.35.15.80|14061|161.35.0.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
161.97.141.29|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
162.0.234.190|22612|162.0.224.0/20|US|arin|2020-04-03|NAMECHEAP-NET, US
167.114.64.99|16276|167.114.0.0/17|CA|arin|2014-08-29|OVH, FR
167.86.90.239|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
168.138.93.183|31898|168.138.64.0/19|US|arin|2016-10-14|ORACLE-BMC-31898, US
172.104.169.238|63949|172.104.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
173.3.208.175|6128|173.2.0.0/15|US|arin|2008-05-12|CABLE-NET-1, US
174.26.149.2|209|174.26.0.0/16|US|arin|2009-02-17|CENTURYLINK-US-LEGACY-QWEST, US
176.223.134.155|212531|176.223.128.0/20|LT|ripencc|2011-11-29|INTERNETO-VIZIJA, LT
176.9.120.187|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.128.166.44|14061|178.128.160.0/20|US|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
