# https://chainz.cryptoid.info/ and whois results
# Elite
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.174.179.74|/ Elite:2.0.1.2/|60200||||||
107.9.8.127|/ Elite:2.0.1.2/|60200||||||
111.239.163.30|/ Elite:2.0.1.2/|60200||||||
111.239.165.187|/ Elite:2.0.1.2/|60200||||||
115.36.228.98|/ Elite:2.0.1.2/|60200||||||
118.209.234.145|/Satoshi:2.0.1.1/|60100||||||
133.32.232.141|/ Elite:2.0.1.2/|60200||||||
138.199.36.130|/ Elite:2.0.1.2/|60200||||||
144.91.120.189|/ Elite:2.0.1.5/|60205||||||
153.184.154.0|/ Elite:2.0.1.2/|60200||||||
162.236.125.32|/ Elite:2.0.1.2/|60200||||||
173.246.218.164|/ Elite:2.0.1.2/|60200||||||
173.52.69.129|/Satoshi:2.0.1.1/|60100||||||
174.94.93.129|/Satoshi:2.0.1.1/|60100||||||
176.25.32.175|/ Elite:2.0.1.2/|60200||||||
177.137.34.76|/ Elite:2.0.1.2/|60200||||||
178.38.225.127|/ Elite:2.0.1.2/|60200||||||
179.6.166.38|/ Elite:2.0.1.2/|60200||||||
185.117.74.45|/ Elite:2.0.1.2/|60200|60117|185.117.74.0/24|AE|ripencc|2015-09-14|HS, AE
185.228.152.201|/ Elite:2.0.1.5/|60205||||||
188.124.109.41|/ Elite:2.0.1.2/|60200||||||
188.163.103.163|/ Elite:2.0.1.2/|60200||||||
188.242.78.73|/ Elite:2.0.1.2/|60200||||||
189.6.250.42|/ Elite:2.0.1.2/|60200||||||
193.29.60.133|/ Elite:2.0.1.5/|60205||||||
195.195.206.18|/ Elite:2.0.1.2/|60200||||||
195.213.252.75|/ Elite:2.0.1.2/|60200||||||
195.46.187.110|/Satoshi:2.0.1.1/|60100||||||
211.28.155.234|/ Elite:2.0.1.2/|60200||||||
24.138.134.12|/ Elite:2.0.1.2/|60200||||||
24.5.12.103|/ Elite:2.0.1.2/|60200||||||
27.138.155.95|/ Elite:2.0.1.2/|60200||||||
37.19.214.9|/ Elite:2.0.1.2/|60200||||||
45.21.62.204|/ Elite:2.0.1.5/|60205||||||
46.101.235.143|/ Elite:2.0.1.2/|60200||||||
5.166.240.29|/ Elite:2.0.1.2/|60200||||||
5.253.205.149|/ Elite:2.0.1.2/|60200||||||
51.81.115.87|/ Elite:2.0.1.2/|60200||||||
68.48.235.234|/ Elite:2.0.1.2/|60200||||||
71.214.132.6|/ Elite:2.0.1.2/|60200||||||
71.89.71.176|/ Elite:2.0.1.2/|60200||||||
72.194.134.226|/ Elite:2.0.1.2/|60200||||||
73.221.90.75|/ Elite:2.0.1.2/|60200||||||
75.76.164.40|/ Elite:2.0.1.2/|60200||||||
75.82.185.108|/Satoshi:2.0.1.1/|60100||||||
77.121.149.185|/ Elite:2.0.1.2/|60200||||||
78.95.68.71|/ Elite:2.0.1.2/|60200||||||
79.160.5.157|/ Elite:2.0.1.2/|60200||||||
79.201.85.37|/ Elite:2.0.1.2/|60200||||||
80.147.129.194|/ Elite:2.0.1.3/|1000000||||||
80.148.37.101|/Satoshi:2.0.1.1/|60100||||||
83.253.74.223|/ Elite:2.0.1.2/|60200||||||
84.64.246.35|/ Elite:2.0.1.2/|60200||||||
85.19.25.38|/ Elite:2.0.1.2/|60200||||||
85.26.232.96|/ Elite:2.0.1.2/|60200||||||
88.131.213.108|/ Elite:2.0.1.2/|60200||||||
89.246.121.3|/ Elite:2.0.1.2/|60200||||||
89.246.121.54|/ Elite:2.0.1.2/|60200||||||
89.44.201.166|/ Elite:2.0.1.2/|60200||||||
91.113.72.254|/ Elite:2.0.1.2/|60200||||||
93.66.139.170|/ Elite:2.0.1.2/|60200||||||
93.82.74.156|/ Elite:2.0.1.2/|60200||||||
94.130.29.243|/ Elite:2.0.1.2/|60200||||||
95.24.64.147|/ Elite:2.0.1.2/|60200||||||
95.90.202.32|/ Elite:2.0.1.2/|60200||||||
98.117.4.147|/ Elite:2.0.1.2/|60200||||||
