# https://chainz.cryptoid.info/ and whois results
# AudioCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.167.2.136|/Satoshi:1.3.1/|60014||||||
107.170.84.126|/Satoshi:1.2.2/|60014|14061|107.170.0.0/17|US|arin|2013-12-30|DIGITALOCEAN-ASN, US
136.144.141.84|/Satoshi:1.3.1/|60014||||||
164.92.255.126|/Satoshi:1.2.2/|60014|14061|164.92.240.0/20|US|arin|2020-05-04|DIGITALOCEAN-ASN, US
193.27.14.185|/Satoshi:1.2.2/|60014|9009|193.27.14.0/24|RO|ripencc|2018-04-25|M247, GB
200.56.73.101|/Satoshi:1.3.1/|60014||||||
207.253.175.110|/Satoshi:1.3.0/|60014|395075|207.253.160.0/20|CA|arin|1996-11-22|AS-COPR, CA
213.127.111.188|/Satoshi:1.3.1/|60014||||||
31.127.11.93|/Satoshi:1.3.1/|60014||||||
45.133.4.25|/Satoshi:1.3.1/|60014||||||
5.189.128.236|/Satoshi:1.3.1/|60014||||||
52.56.175.102|/Satoshi:1.3.1/|60014||||||
66.115.146.13|/Satoshi:1.3.1/|60014||||||
83.25.14.136|/Satoshi:1.3.1/|60014||||||
84.85.208.220|/Satoshi:1.3.1/|60014||||||
86.87.134.183|/Satoshi:1.3.1/|60014||||||
89.185.100.233|/Satoshi:1.3.1/|60014||||||
91.25.131.246|/Satoshi:1.3.1/|60014||||||
91.62.209.205|/Satoshi:1.3.1/|60014||||||
92.131.127.13|/Satoshi:1.3.1/|60014||||||
92.4.69.157|/Satoshi:1.3.0/|60014|13285|92.4.0.0/15|GB|ripencc|2007-06-28|OPALTELECOM-AS TalkTalk Communications Limited, GB
93.194.124.151|/Satoshi:1.3.1/|60014||||||
93.35.220.39|/Satoshi:1.3.1/|60014||||||
95.102.49.174|/Satoshi:1.2.2/|60014|6855|95.102.0.0/15|SK|ripencc|2009-02-09|SK-TELEKOM Slovak Telekom T-Mobile CZ, SK
95.217.78.170|/Satoshi:1.3.1/|60014||||||
95.90.219.226|/Satoshi:1.3.1/|60014||||||
95.91.222.112|/Satoshi:1.3.1/|60014|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.91.255.32|/Satoshi:1.3.1/|60014|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.91.255.37|/Satoshi:1.3.1/|60014|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
