# https://chainz.cryptoid.info/ and whois results
# AquariusCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.172.217.189|/Arcoshi:2.0.1/|60016||||||
146.212.125.31|/Arcoshi:2.0.1/|60016|21283|146.212.0.0/16|SI|ripencc|2011-07-13|A1SI-AS A1 Slovenija, SI
180.254.75.78|???|0||||||
185.82.203.241|/Arcoshi:2.0.1/|60016||||||
193.164.140.162|/Arcoshi:2.0.1/|60016||||||
46.101.235.143|/Arcoshi:2.0.1/|60016||||||
5.166.240.29|/Arcoshi:2.0.1/|60016|39028|5.166.240.0/23|RU|ripencc|2012-07-25|ULSK-AS, RU
62.182.69.37|/Arcoshi:2.0.1/|60016||||||
67.197.241.188|/Arcoshi:2.0.1/|60016|14615|67.197.192.0/18|US|arin|2007-09-20|ROCK-HILL-TELEPHONE, US
77.121.153.45|/Arcoshi:2.0.1/|60016||||||
77.122.104.85|/Arcoshi:2.0.1/|60016||||||
84.162.171.53|/Arcoshi:2.0.1/|60016||||||
87.123.245.132|/Arcoshi:2.0.1/|60016||||||
87.123.245.140|/Arcoshi:2.0.1/|60016|8881|87.123.240.0/21|DE|ripencc|2005-07-27|VERSATEL, DE
89.142.71.234|/Arcoshi:2.0.1/|60016|5603|89.142.64.0/18|SI|ripencc|2006-03-03|SIOL-NET Telekom Slovenije d.d., SI
89.212.11.158|/Arcoshi:2.0.1/|60016|34779|89.212.0.0/18|SI|ripencc|2006-05-03|T-2-AS AS set propagated by T-2 d.o.o., SI
93.103.20.240|/Arcoshi:2.0.1/|60016|34779|93.103.0.0/19|SI|ripencc|2008-03-14|T-2-AS AS set propagated by T-2 d.o.o., SI
93.155.149.105|/Arcoshi:2.0.1/|60016||||||
95.217.73.169|/Arcoshi:2.0.1/|60016||||||
95.82.135.119|/Arcoshi:2.0.1/|60016||||||
