# https://chainz.cryptoid.info/ and whois results
# B3Coin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.168.98.51|/B3-Coin:3.1.2.2/|80008|36352|104.168.98.0/23|US|arin|2014-08-27|AS-COLOCROSSING, US
104.238.188.113|/B3-Coin:3.1.2.2/|80008|20473|104.238.188.0/22|US|arin|2014-11-13|AS-CHOOPA, US
107.174.71.182|/B3-Coin:3.1.2.2/|80008|36352|107.174.64.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
107.174.71.213|/B3-Coin:3.1.2.2/|80008|36352|107.174.64.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
108.61.170.222|/B3-Coin:3.1.2.2/|80008|20473|108.61.170.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.175.195|/B3-Coin:3.1.2.2/|80008|20473|108.61.172.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.195.113|/B3-Coin:3.1.2.2/|80008|20473|108.61.194.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.96.206|/B3-Coin:3.1.2.2/|80008|20473|108.61.96.0/24|US|arin|2010-12-08|AS-CHOOPA, US
111.221.45.150|/B3-Coin:3.1.2.2/|80008|38001|111.221.45.0/24|SG|apnic|2009-07-16|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
111.221.45.161|/B3-Coin:3.1.2.2/|80008|38001|111.221.45.0/24|SG|apnic|2009-07-16|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
111.221.45.163|/B3-Coin:3.1.2.2/|80008|38001|111.221.45.0/24|SG|apnic|2009-07-16|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
111.221.45.166|/B3-Coin:3.1.2.2/|80008|38001|111.221.45.0/24|SG|apnic|2009-07-16|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
111.221.45.167|/B3-Coin:3.1.2.2/|80008|38001|111.221.45.0/24|SG|apnic|2009-07-16|NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd, SG
155.138.140.221|/B3-Coin:3.1.2.2/|80008|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
155.138.226.97|/B3-Coin:3.1.2.2/|80008|20473|155.138.224.0/20|US|arin|2018-12-05|AS-CHOOPA, US
155.138.227.181|/B3-Coin:3.1.2.2/|80008|20473|155.138.224.0/20|US|arin|2018-12-05|AS-CHOOPA, US
157.245.164.173|/B3-Coin:3.1.2.2/|80008|14061|157.245.160.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.203.164.126|/B3-Coin:3.1.2.2/|80008|14061|159.203.160.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.65.166.35|/B3-Coin:3.1.2.2/|80008|14061|159.65.160.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
164.132.90.43|/B3-Coin:3.1.2.2/|80008|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
165.227.67.174|/B3-Coin:3.1.2.2/|80008|14061|165.227.64.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
172.245.153.12|/B3-Coin:3.1.2.2/|80008|36352|172.245.144.0/20|US|arin|2013-04-22|AS-COLOCROSSING, US
172.245.157.5|/B3-Coin:3.1.2.2/|80008|36352|172.245.144.0/20|US|arin|2013-04-22|AS-COLOCROSSING, US
173.212.224.213|/B3-Coin:3.1.2.2/|80008|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.249.24.141|/B3-Coin:3.1.2.2/|80008|51167|173.249.24.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.128.11.86|/B3-Coin:3.1.2.2/|80008|14061|178.128.0.0/20|US|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.32.55.197|/B3-Coin:3.1.2.2/|80008|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
185.146.232.78|/B3-Coin:3.1.2.2/|80008|200651|185.146.232.0/24|SC|ripencc|2016-04-11|FLOKINET, SC
185.146.232.79|/B3-Coin:3.1.2.2/|80008|200651|185.146.232.0/24|SC|ripencc|2016-04-11|FLOKINET, SC
192.210.180.178|/B3-Coin:3.1.2.2/|80008|36352|192.210.180.0/23|US|arin|2012-12-11|AS-COLOCROSSING, US
192.210.180.5|/B3-Coin:3.1.2.2/|80008|36352|192.210.180.0/23|US|arin|2012-12-11|AS-COLOCROSSING, US
192.210.180.6|/B3-Coin:3.1.2.2/|80008|36352|192.210.180.0/23|US|arin|2012-12-11|AS-COLOCROSSING, US
192.3.189.171|/B3-Coin:3.1.2.2/|80008|36352|192.3.176.0/20|US|arin|2013-06-07|AS-COLOCROSSING, US
198.46.248.165|???|0|36352|198.46.248.0/23|US|arin|2013-03-12|AS-COLOCROSSING, US
198.46.248.168|/B3-Coin:3.1.2.2/|80008|36352|198.46.248.0/23|US|arin|2013-03-12|AS-COLOCROSSING, US
198.46.248.37|/B3-Coin:3.1.2.2/|80008|36352|198.46.248.0/23|US|arin|2013-03-12|AS-COLOCROSSING, US
198.46.248.77|/B3-Coin:3.1.2.2/|80008|36352|198.46.248.0/23|US|arin|2013-03-12|AS-COLOCROSSING, US
199.247.7.71|/B3-Coin:3.1.2.2/|80008|20473|199.247.0.0/21|US|ripencc|1996-04-09|AS-CHOOPA, US
206.189.164.43|/B3-Coin:3.1.2.2/|80008|14061|206.189.160.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.148.8.22|/B3-Coin:3.1.2.2/|80008|20473|207.148.8.0/21|US|arin|2017-12-01|AS-CHOOPA, US
209.250.231.180|/B3-Coin:3.1.2.2/|80008|20473|209.250.224.0/21|US|ripencc|2006-06-08|AS-CHOOPA, US
209.250.236.190|/B3-Coin:3.1.2.2/|80008|20473|209.250.232.0/21|US|ripencc|2006-06-08|AS-CHOOPA, US
