# https://chainz.cryptoid.info/ and whois results
# Biblepay
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.218.61.42|/BiblePay Core:1.6.2.9/|70772||||||
107.191.44.254|/BiblePay Core:1.6.2.9/|70772||||||
142.47.109.69|/BiblePay Core:1.6.2.9/|70772||||||
142.47.89.31|/BiblePay Core:1.6.2.9/|70772||||||
142.47.96.25|/BiblePay Core:1.6.2.9/|70772||||||
144.202.66.211|/BiblePay Core:1.6.2.9/|70772||||||
149.28.249.117|/BiblePay Core:1.6.2.9/|70772||||||
149.28.254.165|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.140|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.146|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.147|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.148|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.149|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.150|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.24|/BiblePay Core:1.6.2.8/|70772||||||
155.207.70.27|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.29|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.30|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.35|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.38|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.39|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.41|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.43|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.44|/BiblePay Core:1.6.2.9/|70772||||||
155.207.70.48|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.50|/BiblePay Core:1.6.2.8/|70772||||||
155.207.70.54|/BiblePay Core:1.6.2.8/|70772||||||
155.207.70.66|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.71|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.76|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.79|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.8|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.80|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.81|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.82|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.83|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.84|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.93|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.72.10|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.72.86|/BiblePay Core:1.6.2.9/|70772|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
162.104.19.81|/BiblePay Core:1.6.2.9/|70772|209|162.104.16.0/20|US|arin|2013-02-28|CENTURYLINK-US-LEGACY-QWEST, US
162.156.189.19|/BiblePay Core:1.6.2.9/|70772|852|162.156.0.0/16|CA|arin|2013-03-07|TELUS Communications, CA
