# https://chainz.cryptoid.info/ and whois results
# BitConnect X
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.227.101.200|/Satoshi:1.1.0/|61016|55081|104.227.101.0/24|CA|arin|2014-10-17|24SHELLS, US
104.227.120.239|/Satoshi:1.1.0/|61016|55286|104.227.120.0/24|CA|arin|2014-10-17|SERVER-MANIA, CA
104.227.13.159|/Satoshi:1.1.0/|61016|55081|104.227.13.0/24|CA|arin|2014-10-17|24SHELLS, US
104.227.133.60|/Satoshi:1.1.0/|61016|55081|104.227.133.0/24|CA|arin|2014-10-17|24SHELLS, US
104.227.133.63|/Satoshi:1.1.0/|61016|55081|104.227.133.0/24|CA|arin|2014-10-17|24SHELLS, US
104.227.173.50|/Satoshi:1.1.0/|61016|55081|104.227.173.0/24|CA|arin|2014-10-17|24SHELLS, US
104.227.223.153|/Satoshi:1.1.0/|61016|55286|104.227.223.0/24|CA|arin|2014-10-17|SERVER-MANIA, CA
104.227.223.193|/Satoshi:1.1.0/|61016|55286|104.227.223.0/24|CA|arin|2014-10-17|SERVER-MANIA, CA
104.227.223.48|/Satoshi:1.1.0/|61016|55286|104.227.223.0/24|CA|arin|2014-10-17|SERVER-MANIA, CA
107.152.230.190|/Satoshi:1.1.0/|61016|55286|107.152.230.0/24|CA|arin|2013-12-13|SERVER-MANIA, CA
109.124.218.214|/Satoshi:1.1.0/|61016||||||
113.161.80.77|/Satoshi:1.1.0/|61016|45899|113.161.80.0/21|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
113.23.115.196|/Satoshi:1.1.0/|61016|18403|113.23.115.0/24|VN|apnic|2008-10-10|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
135.181.211.44|/Satoshi:1.1.0/|61016|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
138.128.114.76|/Satoshi:1.1.0/|61016|55081|138.128.114.0/24|CA|arin|2014-04-29|24SHELLS, US
139.180.174.204|/Satoshi:1.1.0/|61016|20473|139.180.160.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
151.80.148.159|/Satoshi:1.1.1/|61116||||||
154.12.96.55|/Satoshi:1.1.0/|61016|174|154.12.96.0/23|US|arin|1992-02-05|COGENT-174, US
154.13.70.55|/Satoshi:1.1.0/|61016|174|154.13.70.0/23|US|arin|1992-02-05|COGENT-174, US
154.85.125.52|/Satoshi:1.1.0/|61016|9009|154.85.124.0/23|SC|afrinic|2013-07-24|M247, GB
154.85.126.123|/Satoshi:1.1.0/|61016|9009|154.85.126.0/23|SC|afrinic|2013-07-24|M247, GB
154.85.126.189|/Satoshi:1.1.0/|61016|9009|154.85.126.0/23|SC|afrinic|2013-07-24|M247, GB
154.95.36.4|/Satoshi:1.1.0/|61016|9009|154.95.36.0/23|SC|afrinic|2013-07-24|M247, GB
156.238.5.139|/Satoshi:1.1.0/|61016|9009|156.238.4.0/22|SC|afrinic|2015-12-22|M247, GB
159.69.37.34|/Satoshi:1.1.0/|61016|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
162.55.244.234|/Satoshi:1.1.0/|61016||||||
185.101.169.70|/Satoshi:1.1.0/|61016|61317|185.101.169.0/24|RO|ripencc|2015-05-26|ASDETUK www.heficed.com, GB
185.101.169.88|/Satoshi:1.1.0/|61016|61317|185.101.169.0/24|RO|ripencc|2015-05-26|ASDETUK www.heficed.com, GB
185.220.100.246|/Satoshi:1.1.1/|61116||||||
185.220.100.254|/Satoshi:1.1.1/|61116||||||
191.101.217.243|/Satoshi:1.1.0/|61016|174|191.101.217.0/24|CL|lacnic|2014-03-13|COGENT-174, US
192.186.151.213|/Satoshi:1.1.0/|61016|55286|192.186.151.0/24|CA|arin|2013-08-02|SERVER-MANIA, CA
193.27.10.14|/Satoshi:1.1.0/|61016|60781|193.27.10.0/24|SC|ripencc|2019-11-13|LEASEWEB-NL-AMS-01 Netherlands, NL
193.8.56.135|/Satoshi:1.1.0/|61016|60781|193.8.56.0/24|SC|ripencc|2019-11-13|LEASEWEB-NL-AMS-01 Netherlands, NL
193.8.56.63|/Satoshi:1.1.0/|61016|60781|193.8.56.0/24|SC|ripencc|2019-11-13|LEASEWEB-NL-AMS-01 Netherlands, NL
193.8.94.251|/Satoshi:1.1.0/|61016|60781|193.8.94.0/24|SC|ripencc|2019-11-13|LEASEWEB-NL-AMS-01 Netherlands, NL
194.31.162.66|/Satoshi:1.1.0/|61016|209811|194.31.162.0/23|US|ripencc|2018-11-28|INTRANET-AS, US
198.20.191.0|/Satoshi:1.1.0/|61016|55081|198.20.191.0/24|CA|arin|2013-04-01|24SHELLS, US
209.127.165.128|/Satoshi:1.1.0/|61016|55286|209.127.165.0/24|CA|arin|2018-01-12|SERVER-MANIA, CA
