# https://chainz.cryptoid.info/ and whois results
# BlackCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.93.144.95|/Blackcoin More:2.13.2.9/|70013||||||
103.243.173.210|/Blackcoin More:2.13.2.8/|70013||||||
104.238.220.119|Blackcoin More:2.13.2.8|70713||||||
110.87.119.237|/Blackcoin More:2.13.2.8/|70013||||||
113.104.208.99|/Blackcoin More:2.13.2.8/|70013||||||
113.104.214.109|/Blackcoin More:2.13.2.8/|70013||||||
114.139.6.79|/Blackcoin More:2.13.2.7/|70013||||||
114.221.33.88|/Blackcoin More:2.13.2.8/|70013||||||
116.203.82.109|/Blackcoin More:2.13.2.7/|70013||||||
116.25.39.247|/Blackcoin More:2.13.2.7/|70013||||||
119.3.138.218|/Blackcoin More:2.13.2.8/|70013||||||
119.45.242.241|/Blackcoin More:2.13.2.8/|70013||||||
125.228.69.196|/Blackcoin More:2.13.2.7/|70013||||||
128.90.137.240|/Blackcoin More:2.13.2.8/|70013||||||
134.19.188.91|/Blackcoin More:2.13.2.8/|70013||||||
138.199.57.38|/Blackcoin More:2.13.2.8/|70013||||||
141.226.15.110|/Blackcoin More:2.13.2.6/|70013||||||
142.162.23.234|/Blackcoin More:2.13.2.8/|70013||||||
146.212.125.31|/Blackcoin More:2.13.2.7/|70013||||||
147.148.173.61|/Blackcoin More:2.13.2.8/|70013||||||
151.248.203.104|/Blackcoin More:2.13.2.8/|70013||||||
154.6.22.178|/Blackcoin More:2.13.2.9/|70013||||||
161.81.69.13|/Blackcoin More:2.13.2.8/|70013||||||
161.97.80.103|/Blackcoin More:2.13.2.8/|70013||||||
166.70.54.214|/Blackcoin More:2.13.2.6/|70013||||||
171.40.42.57|/Blackcoin More:2.13.2.6/|70013||||||
172.56.40.47|/Blackcoin More:2.13.2.8/|70013||||||
172.98.71.245|/Blackcoin More:2.13.2.8/|70013||||||
173.249.22.241|/Blackcoin More:2.13.2.9/|70013||||||
178.254.34.173|/Blackcoin More:2.13.2.8/|70013||||||
178.62.114.74|Blackcoin More:2.13.2.8|70713||||||
181.126.229.160|/Blackcoin More:2.13.2.8/|70013||||||
183.227.16.89|/Blackcoin More:2.13.2.8/|70013||||||
185.152.64.171|/Blackcoin More:2.13.2.8/|70013||||||
185.152.64.187|/Blackcoin More:2.13.2.8/|70013||||||
185.159.157.10|/Blackcoin More:2.13.2.8/|70013||||||
185.168.9.132|/Blackcoin More:2.13.2.8/|70013||||||
185.188.61.88|/Blackcoin More:2.13.2.8/|70013||||||
185.188.61.96|/Blackcoin More:2.13.2.8/|70013||||||
185.232.23.44|/Blackcoin More:2.13.2.8/|70013||||||
185.245.85.16|/Blackcoin More:2.13.2.9/|70013||||||
188.126.6.32|/Blackcoin More:2.13.2.8/|70013||||||
188.79.102.49|/Blackcoin More:2.13.2.8/|70013||||||
190.96.1.19|/Blackcoin More:2.13.2.8/|70013||||||
193.218.35.10|/Blackcoin More:2.13.2.8/|70013||||||
193.218.35.20|/Blackcoin More:2.13.2.8/|70013||||||
193.218.35.6|/Blackcoin More:2.13.2.8/|70013||||||
193.218.35.8|/Blackcoin More:2.13.2.8/|70013||||||
193.9.112.180|/Blackcoin More:2.13.2.8/|70013||||||
193.9.112.196|/Blackcoin More:2.13.2.8/|70013||||||
194.41.112.29|/Blackcoin More:2.13.2.6/|70013||||||
199.127.62.235|Blackcoin More:2.13.2.8|70713||||||
199.241.187.130|/Blackcoin More:2.13.2.7/|70013||||||
199.96.237.202|/Blackcoin More:2.13.2.8/|70013||||||
2.203.231.80|/Blackcoin More:2.13.2.7/|70013||||||
202.21.9.123|/Blackcoin More:2.13.2.7/|70013||||||
213.87.246.215|/Blackcoin More:2.13.2.8/|70013||||||
217.138.220.132|/Blackcoin More:2.13.2.8/|70013||||||
24.157.31.98|/Blackcoin More:2.13.2.6/|70013||||||
3.121.247.139|/Blackcoin More:2.13.2.7/|70013||||||
31.2.175.28|/Blackcoin More:2.13.2.9/|70013||||||
37.120.155.34|/Blackcoin More:2.13.2.8/|70013||||||
37.120.211.198|/Blackcoin More:2.13.2.9/|70013||||||
45.126.209.106|Blackcoin More:2.13.2.8|70713||||||
45.130.137.15|/Blackcoin More:2.13.2.8/|70013||||||
45.130.137.33|/Blackcoin More:2.13.2.8/|70013||||||
45.130.137.39|/Blackcoin More:2.13.2.8/|70013||||||
45.130.137.51|/Blackcoin More:2.13.2.8/|70013||||||
45.95.65.173|/Blackcoin More:2.13.2.9/|70013||||||
46.34.158.186|/Blackcoin More:2.13.2.7/|70013||||||
47.186.80.124|/Blackcoin More:2.13.2.3/|70013||||||
50.220.121.211|/Blackcoin More:2.13.2.8/|70013||||||
54.171.206.156|/Blackcoin More:2.13.2.8/|70013||||||
60.108.92.175|/Blackcoin More:2.13.2.6/|70013||||||
62.213.10.22|/Blackcoin More:2.13.2.9/|70013||||||
62.240.134.8|/Blackcoin More:2.13.2.8/|70013||||||
65.96.111.195|/Blackcoin More:2.13.2.8/|70013||||||
69.173.197.127|/Blackcoin More:2.13.2.8/|70013||||||
70.173.238.229|/Blackcoin More:2.13.2.7/|70013||||||
70.65.177.213|/Blackcoin More:2.13.2.8/|70013||||||
71.174.109.86|/Blackcoin More:2.13.2.8/|70013||||||
71.211.66.77|/Blackcoin More:2.13.2.8/|70013||||||
71.214.132.6|/Blackcoin More:2.13.2.8/|70013||||||
73.53.78.243|/Blackcoin More:2.13.2.8/|70013||||||
77.12.65.141|/Blackcoin More:2.13.2.8/|70013||||||
77.50.23.34|/Blackcoin More:2.13.2.8/|70013||||||
81.158.187.244|/Blackcoin More:2.13.2.8/|70013||||||
81.162.101.230|/Blackcoin More:2.13.2.9/|70013||||||
81.69.250.50|/Blackcoin More:2.13.2.7/|70013||||||
83.84.134.161|/Blackcoin More:2.13.2.7/|70013||||||
83.85.142.36|/Blackcoin More:2.13.2.8/|70013||||||
84.174.236.199|/Blackcoin More:2.13.2.8/|70013||||||
84.199.52.154|/Blackcoin More:2.13.2.8/|70013||||||
84.249.4.71|/Blackcoin More:2.13.2.8/|70013||||||
85.239.158.188|/Blackcoin More:2.13.2.9/|70013||||||
86.183.212.218|/Blackcoin More:2.13.2.8/|70013||||||
86.184.125.73|/Blackcoin More:2.13.2.8/|70013||||||
88.207.112.15|/Blackcoin More:2.13.2.8/|70013||||||
89.142.64.85|/Blackcoin More:2.13.2.7/|70013||||||
91.125.161.55|/Blackcoin More:2.13.2.7/|70013||||||
91.206.168.35|/Blackcoin More:2.13.2.8/|70013||||||
92.38.3.71|/Blackcoin More:2.13.2.9/|70013||||||
93.100.118.129|/Blackcoin More:2.13.2.8/|70013||||||
94.130.176.201|/Blackcoin More:2.13.2.7/|70013||||||
94.198.42.203|/Blackcoin More:2.13.2.8/|70013||||||
94.222.236.154|/Blackcoin More:2.13.2.8/|70013||||||
94.231.253.146|/Blackcoin More:2.13.2.8/|70013||||||
95.217.78.81|/Blackcoin More:2.13.2.8/|70013||||||
95.43.111.139|/Blackcoin More:2.13.2.9/|70013||||||
98.250.175.53|/Blackcoin More:2.13.2.9/|70013||||||
99.255.250.89|/Blackcoin More:2.13.2.9/|70013||||||
99.68.157.29|/Blackcoin More:2.13.2.8/|70013||||||
