# https://chainz.cryptoid.info/ and whois results
# Blocknet
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.132.245.76|/Blocknet:4.3.3/|70713|37680|102.132.240.0/20|ZA|afrinic|2018-07-04|COOL-IDEAS, ZA
102.134.210.195|/Blocknet:4.3.3/|70713|328114|102.134.210.0/24|ZA|afrinic|2018-07-13|Comsol-Networks-AS, ZA
103.216.196.18|/Blocknet:3.13.1/|70712|9009|103.216.196.0/24|AU|apnic|2016-05-03|M247, GB
104.167.2.136|/Blocknet:4.2.0/|70713|13886|104.167.2.0/24|GB|ripencc|2014-08-20|CLOUD-SOUTH, US
104.181.83.208|/Blocknet:3.13.1/|70712|7018|104.176.0.0/12|US|arin|2014-08-12|ATT-INTERNET4, US
108.34.128.165|/Blocknet:4.2.0/|70713|701|108.34.128.0/17|US|arin|2009-06-05|UUNET, US
108.6.173.121|/Blocknet:4.3.3/|70713|701|108.6.0.0/16|US|arin|2009-06-05|UUNET, US
108.62.49.149|/Blocknet:4.3.3/|70713|396362|108.62.48.0/21|US|arin|2010-12-13|LEASEWEB-USA-NYC, US
109.166.131.114|/Blocknet:4.3.2/|70713||||||
109.201.133.30|/Blocknet:4.3.1/|70713||||||
109.248.148.248|/Blocknet:4.3.3/|70713|52048|109.248.148.0/24|CZ|ripencc|2009-11-27|DATACLUB, BZ
109.252.126.76|/Blocknet:4.3.2/|70713||||||
109.252.85.25|/Blocknet:4.3.3/|70713|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
114.198.43.192|/Blocknet:4.3.3/|70713|7545|114.198.40.0/21|AU|apnic|2008-06-25|TPG-INTERNET-AP TPG Telecom Limited, AU
120.147.73.206|/Blocknet:4.3.2/|70713||||||
121.99.129.139|/Blocknet:4.3.3/|70713|9790|121.98.0.0/15|NZ|apnic|2010-08-26|VOCUSGROUPNZ VocusGroup, NZ
122.104.135.139|/Blocknet:4.3.3/|70713|4804|122.104.0.0/16|AU|apnic|2006-11-10|MPX-AS Microplex PTY LTD, AU
135.181.139.29|/Blocknet:4.3.1/|70713||||||
