# https://chainz.cryptoid.info/ and whois results
# BolivarCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.82.22.193|/BolivarCore:2.0.0.2/|70212||||||
103.82.22.193|/BolivarCore:2.0.0.2/|70211||||||
103.82.22.79|/BolivarCore:2.0.0.2/|70212||||||
103.82.22.79|/BolivarCore:2.0.0.2/|70211||||||
113.160.247.10|/BolivarCore:2.0.0.2/|70212||||||
113.160.247.10|/BolivarCore:2.0.0.2/|70211||||||
128.199.229.71|/BolivarCore:2.0.0.2/|70212||||||
128.199.229.71|/BolivarCore:2.0.0.2/|70211||||||
131.153.57.198|/BolivarCore:2.0.0.2/|70212||||||
131.153.57.198|/BolivarCore:2.0.0.2/|70211||||||
135.181.164.190|/BolivarCore:2.0.0.2/|70212||||||
135.181.164.190|/BolivarCore:2.0.0.2/|70211||||||
135.181.183.38|/BolivarCore:2.0.0.2/|70212||||||
135.181.183.38|/BolivarCore:2.0.0.2/|70211||||||
138.197.127.246|/BolivarCore:2.0.0.2/|70212||||||
138.197.127.246|/BolivarCore:2.0.0.2/|70211||||||
157.90.181.171|/BolivarCore:2.0.0.2/|70212|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
157.90.181.171|/BolivarCore:2.0.0.2/|70211|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
159.65.203.140|/BolivarCore:2.0.0.2/|70212||||||
159.65.203.140|/BolivarCore:2.0.0.2/|70211||||||
161.97.113.213|/BolivarCore:2.0.0.2/|70212||||||
161.97.113.213|/BolivarCore:2.0.0.2/|70211||||||
161.97.123.248|/BolivarCore:2.0.0.2/|70212||||||
161.97.123.248|/BolivarCore:2.0.0.2/|70211||||||
161.97.152.19|/BolivarCore:2.0.0.2/|70212||||||
161.97.152.19|/BolivarCore:2.0.0.2/|70211||||||
167.114.28.173|/BolivarCore:2.0.0.2/|70212||||||
167.114.28.173|/BolivarCore:2.0.0.2/|70211||||||
167.86.105.73|/BolivarCore:2.0.0.2/|70212||||||
167.86.105.73|/BolivarCore:2.0.0.2/|70211||||||
167.86.124.227|/BolivarCore:2.0.0.2/|70212||||||
167.86.124.227|/BolivarCore:2.0.0.2/|70211||||||
167.86.79.34|/BolivarCore:2.0.0.2/|70212||||||
167.86.79.34|/BolivarCore:2.0.0.2/|70211||||||
167.86.90.17|/BolivarCore:2.0.0.2/|70212||||||
167.86.90.17|/BolivarCore:2.0.0.2/|70211||||||
167.86.91.150|/BolivarCore:2.0.0.2/|70212||||||
167.86.91.150|/BolivarCore:2.0.0.2/|70211||||||
173.212.252.120|/BolivarCore:2.0.0.2/|70212||||||
173.212.252.120|/BolivarCore:2.0.0.2/|70211||||||
173.249.21.162|/BolivarCore:2.0.0.2/|70212||||||
173.249.21.162|/BolivarCore:2.0.0.2/|70211||||||
173.249.3.183|/BolivarCore:2.0.0.2/|70212||||||
173.249.3.183|/BolivarCore:2.0.0.2/|70211||||||
184.190.233.217|/BolivarCore:2.0.0.2/|70212||||||
184.190.233.217|/BolivarCore:2.0.0.2/|70211||||||
185.82.203.241|/BolivarCore:2.0.0.2/|70212|60117|185.82.203.0/24|AE|ripencc|2014-12-31|HS, AE
185.82.203.241|/BolivarCore:2.0.0.2/|70211|60117|185.82.203.0/24|AE|ripencc|2014-12-31|HS, AE
186.94.158.67|/BolivarCore:2.0.0.2/|70212||||||
186.94.158.67|/BolivarCore:2.0.0.2/|70211||||||
190.200.111.220|/BolivarCore:2.0.0.2/|70212||||||
190.200.111.220|/BolivarCore:2.0.0.2/|70211||||||
190.207.68.28|/BolivarCore:2.0.0.2/|70212||||||
190.207.68.28|/BolivarCore:2.0.0.2/|70211||||||
190.39.72.120|/BolivarCore:2.0.0.2/|70212||||||
190.39.72.120|/BolivarCore:2.0.0.2/|70211||||||
190.78.239.6|/BolivarCore:2.0.0.2/|70212||||||
190.78.239.6|/BolivarCore:2.0.0.2/|70211||||||
190.78.97.56|/BolivarCore:2.0.0.2/|70212||||||
190.78.97.56|/BolivarCore:2.0.0.2/|70211||||||
201.209.152.202|/BolivarCore:2.0.0.2/|70212||||||
201.209.152.202|/BolivarCore:2.0.0.2/|70211||||||
201.211.77.0|/BolivarCore:2.0.0.2/|70212||||||
201.211.77.0|/BolivarCore:2.0.0.2/|70211||||||
203.198.146.232|/BolivarCore:2.0.0.2/|70212||||||
203.198.146.232|/BolivarCore:2.0.0.2/|70211||||||
206.189.17.5|/BolivarCore:2.0.0.2/|70212||||||
206.189.17.5|/BolivarCore:2.0.0.2/|70211||||||
207.180.202.37|/BolivarCore:2.0.0.2/|70212||||||
207.180.202.37|/BolivarCore:2.0.0.2/|70211||||||
207.180.211.134|/BolivarCore:2.0.0.2/|70212|51167|207.180.210.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.211.134|/BolivarCore:2.0.0.2/|70211|51167|207.180.210.0/23|DE|ripencc|1996-08-21|CONTABO, DE
209.127.125.116|/BolivarCore:2.0.0.2/|70212||||||
209.127.125.116|/BolivarCore:2.0.0.2/|70211||||||
209.145.63.120|/BolivarCore:2.0.0.2/|70212||||||
209.145.63.120|/BolivarCore:2.0.0.2/|70211||||||
213.32.6.132|/BolivarCore:2.0.0.2/|70212|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
213.32.6.132|/BolivarCore:2.0.0.2/|70211|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
216.137.116.136|/BolivarCore:2.0.0.2/|70212||||||
216.137.116.136|/BolivarCore:2.0.0.2/|70211||||||
24.17.183.116|/BolivarCore:2.0.0.2/|70212||||||
24.17.183.116|/BolivarCore:2.0.0.2/|70211||||||
46.101.235.143|/BolivarCore:2.0.0.2/|70212||||||
46.101.235.143|/BolivarCore:2.0.0.2/|70211||||||
46.151.159.53|/BolivarCore:2.0.0.2/|70212|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
46.151.159.53|/BolivarCore:2.0.0.2/|70211|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
46.23.35.70|/BolivarCore:2.0.0.2/|70212||||||
46.23.35.70|/BolivarCore:2.0.0.2/|70211||||||
5.189.173.231|/BolivarCore:2.0.0.2/|70212||||||
5.189.173.231|/BolivarCore:2.0.0.2/|70211||||||
5.9.10.66|/BolivarCore:2.0.0.2/|70212||||||
5.9.10.66|/BolivarCore:2.0.0.2/|70211||||||
50.220.121.211|/BolivarCore:2.0.0.2/|70212||||||
50.220.121.211|/BolivarCore:2.0.0.2/|70211||||||
51.210.180.98|/BolivarCore:2.0.0.2/|70212||||||
51.210.180.98|/BolivarCore:2.0.0.2/|70211||||||
66.70.182.1|/BolivarCore:2.0.0.2/|70212|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
66.70.182.1|/BolivarCore:2.0.0.2/|70211|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
70.83.16.230|/BolivarCore:2.0.0.2/|70212||||||
70.83.16.230|/BolivarCore:2.0.0.2/|70211||||||
78.46.18.218|/BolivarCore:2.0.0.2/|70212|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
78.46.18.218|/BolivarCore:2.0.0.2/|70211|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
85.15.179.171|/BolivarCore:2.0.0.2/|70212||||||
85.15.179.171|/BolivarCore:2.0.0.2/|70211||||||
89.40.11.214|/BolivarCore:2.0.0.2/|70212||||||
89.40.11.214|/BolivarCore:2.0.0.2/|70211||||||
90.169.193.68|/BolivarCore:2.0.0.2/|70212||||||
90.169.193.68|/BolivarCore:2.0.0.2/|70211||||||
90.205.227.45|/BolivarCore:2.0.0.2/|70212||||||
90.205.227.45|/BolivarCore:2.0.0.2/|70211||||||
91.206.16.214|/BolivarCore:2.0.0.2/|70212||||||
91.206.16.214|/BolivarCore:2.0.0.2/|70211||||||
95.111.226.45|/BolivarCore:2.0.0.2/|70212||||||
95.111.226.45|/BolivarCore:2.0.0.2/|70211||||||
