# https://chainz.cryptoid.info/ and whois results
# Bitradio
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.252.203.97|/Bitradio Core:1.1.0.9/|70815||||||
135.181.164.190|/BitRadio Core:1.1.0.9/|70815||||||
135.181.183.38|/BitRadio Core:1.1.0.10/|70815||||||
139.99.217.178|/BitRadio Core:1.1.0.9/|70815||||||
144.91.124.118|/BitRadio Core:1.1.0.9/|70815||||||
164.68.120.95|/BitRadio Core:1.1.0.10/|70815||||||
167.86.120.231|Hosted by POSMN.com|70815||||||
173.249.36.199|/BitRadio Core:1.1.0.10/|70815||||||
173.249.55.227|/BitRadio Core:1.1.0.10/|70815||||||
178.46.128.12|/BitRadio Core:1.1.0.9/|70815||||||
195.201.84.173|/BitRadio Core:1.1.0.10/|70815||||||
213.136.88.211|/BitRadio Core:1.1.0.9/|70815||||||
220.244.165.129|/BitRadio Core:1.1.0.9/|70815||||||
37.214.31.86|/BitRadio Core:1.1.0.9/|70815||||||
41.138.89.248|???|0||||||
51.79.101.48|/BitRadio Core:1.1.0.9/|70815||||||
62.171.129.151|@_breakcrypto phantom|70815||||||
62.75.160.138|???|0||||||
65.21.202.231|/BitRadio Core:1.1.0.10/|70815||||||
78.136.230.50|/BitRadio Core:1.1.0.9/|70815||||||
79.117.87.241|/BitRadio Core:1.1.0.9/|70815||||||
87.168.37.46|/BitRadio Core:1.1.0.9/|70815||||||
91.175.79.210|/BitRadio Core:1.1.0.9/|70815||||||
94.142.141.186|/BitRadio Core:1.1.0.9/|70815||||||
94.54.153.10|/BitRadio Core:1.1.0.10/|70815||||||
95.216.112.43|/BitRadio Core:1.1.0.10/|70815||||||
