# https://chainz.cryptoid.info/ and whois results
# BitSend
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
13.209.60.161|/Bitsend:0.17.9.2/|70084||||||
144.126.151.7|/Bitsend:0.17.9.2/|70084|40021|144.126.148.0/22|US|arin|2021-03-16|CONTABO, US
146.59.18.4|/Bitsend:0.17.9.2/|70084||||||
147.135.97.55|/Bitsend:0.17.9.2/|70084||||||
159.196.219.68|/Bitsend:0.17.9.2/|70084||||||
167.86.116.187|/Bitsend:0.17.9.2/|70084||||||
185.244.194.56|/Bitsend Core:0.14.2/|70084||||||
185.244.194.57|/Bitsend Core:0.14.2/|70084||||||
185.92.221.115|/Bitsend:0.17.9.2/|70084|20473|185.92.220.0/23|US|ripencc|2015-03-20|AS-CHOOPA, US
188.167.65.13|/Bitsend:0.17.9.2/|70084|6830|188.167.0.0/17|SK|ripencc|2009-06-11|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
188.79.102.49|/Bitsend:0.17.9.2/|70084||||||
190.96.1.19|/Bitsend:0.17.9.2/|70084||||||
212.237.211.107|/Bitsend:0.17.9.2/|70084|58222|212.237.208.0/22|CH|ripencc|1998-09-25|SERVERBASE, CH
212.237.211.92|/Bitsend:0.17.9.2/|70084||||||
217.163.29.10|/Bitsend:0.17.9.2/|70084||||||
217.61.61.66|/Bitsend:0.17.9.2/|70084|202242|217.61.56.0/21|IT|ripencc|2000-11-01|ARUBA-CLOUD, IT
31.25.241.224|/Bitsend:0.17.9.2/|70084||||||
37.139.36.106|/Bitsend:0.17.9.2/|70084|56534|37.139.36.0/24|RU|ripencc|2012-02-24|PIRIX-INET-AS PIRIX, St.Petersburg, Russia, RU
37.26.136.250|/Bitsend:0.17.0.1/|70084|1547|37.26.128.0/20|MD|ripencc|2011-12-27|IDK-NETWORK, MD
37.26.136.253|/Bitsend:0.17.9.2/|70084||||||
45.32.146.31|/Bitsend:0.17.9.2/|70084||||||
45.77.26.221|/Bitsend:0.17.9.2/|70084||||||
46.4.53.72|/Bitsend:0.17.9.2/|70084|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
46.83.235.67|/Bitsend:0.17.9.2/|70084||||||
5.188.104.245|/Bitsend:0.17.9.2/|70084||||||
5.188.173.19|/Bitsend:0.17.9.2/|70084||||||
50.220.121.211|/Bitsend:0.17.9.2/|70084||||||
51.15.37.166|/Bitsend:0.17.9.2/|70084|12876|51.15.0.0/17|FR|ripencc|1993-09-01|Online SAS, FR
51.158.75.130|/Bitsend:0.17.9.2/|70084|12876|51.158.0.0/15|FR|ripencc|1993-09-01|Online SAS, FR
54.213.206.46|/Bitsend:0.17.9.2/|70084||||||
66.151.242.154|/Bitsend:0.17.9.2/|70084||||||
80.208.166.130|/Bitsend:0.17.9.2/|70084||||||
82.66.94.6|/Bitsend:0.17.9.2/|70084||||||
83.221.211.116|/Bitsend:0.17.9.2/|70084||||||
84.2.34.93|/Bitsend:0.17.9.2/|70084||||||
89.40.26.30|/Bitsend:0.17.9.2/|70084||||||
