# https://chainz.cryptoid.info/ and whois results
# Coino
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
173.70.180.51|/Coino:2.0.0/|90000|701|173.70.0.0/16|US|arin|2008-08-11|UUNET, US
178.211.43.70|/Coino:2.0.0/|90000|197328|178.211.43.0/24|TR|ripencc|2010-06-28|INETLTD, TR
178.211.43.72|/Coino:2.0.0/|90000|197328|178.211.43.0/24|TR|ripencc|2010-06-28|INETLTD, TR
194.37.81.113|/Coino:2.0.0/|90000|60781|194.37.81.0/24|GI|ripencc|2018-05-16|LEASEWEB-NL-AMS-01 Netherlands, NL
198.8.85.243|/Coino:2.0.0/|90000|46562|198.8.85.0/24|US|arin|2012-09-06|PERFORMIVE, US
198.8.85.251|/Coino:2.0.0/|90000|46562|198.8.85.0/24|US|arin|2012-09-06|PERFORMIVE, US
46.101.235.143|/Coino:2.0.0/|90000||||||
89.185.100.232|/Coino:2.0.0/|90000||||||
91.149.252.196|/Coino:2.0.0/|90000|397540|91.149.252.0/24|PL|ripencc|2006-11-20|WINDSCRIBE, CA
91.149.252.200|/Coino:2.0.0/|90000|397540|91.149.252.0/24|PL|ripencc|2006-11-20|WINDSCRIBE, CA
