# https://chainz.cryptoid.info/ and whois results
# Dash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.192.90.183|/open-nodes:0.1/|70215||||||
106.242.216.142|/Dash Core:0.16.1.1/|70218||||||
108.61.229.222|/Dash Core:0.17.0.3/|70219||||||
108.61.229.222|/Dash Core:0.17.0.3/|70220||||||
108.61.229.222|/Dash Core:0.17.0.3/|70221||||||
119.254.81.66|/Dash Core:0.14.0.5/|70215||||||
129.13.189.211|/dsn.tm.kit.edu/dash:0.14.0.2/|70215||||||
129.213.17.14|/Dash Core:0.16.1.1/|70218||||||
129.213.203.238|/Dash Core:0.17.0.3/|70219||||||
129.213.203.238|/Dash Core:0.17.0.3/|70220||||||
129.213.203.238|/Dash Core:0.17.0.3/|70221||||||
142.93.231.17|/Dash Core:0.17.0.3/|70219||||||
142.93.231.17|/Dash Core:0.17.0.3/|70220||||||
142.93.231.17|/Dash Core:0.17.0.3/|70221||||||
143.198.164.157|Dash Core:0.17.0.3|70221||||||
144.91.123.245|/Dash Core:0.16.1.1/|70218||||||
145.239.163.131|/Dash Core:0.17.0.3/|70219||||||
145.239.163.131|/Dash Core:0.17.0.3/|70220||||||
145.239.163.131|/Dash Core:0.17.0.3/|70221||||||
146.59.176.5|/Dash Core:0.17.0.3/|70219||||||
146.59.176.5|/Dash Core:0.17.0.3/|70220||||||
146.59.176.5|/Dash Core:0.17.0.3/|70221||||||
150.136.56.179|/Dash Core:0.17.0.3/|70219||||||
150.136.56.179|/Dash Core:0.17.0.3/|70220||||||
150.136.56.179|/Dash Core:0.17.0.3/|70221||||||
152.89.107.200|/Dash Core:0.17.0.3/|70219||||||
152.89.107.200|/Dash Core:0.17.0.3/|70220||||||
152.89.107.200|/Dash Core:0.17.0.3/|70221||||||
159.69.57.170|/Dash Core:0.17.0.3/|70219||||||
159.69.57.170|/Dash Core:0.17.0.3/|70220||||||
159.69.57.170|/Dash Core:0.17.0.3/|70221||||||
159.89.5.181|/Dash Core:0.17.0.3/|70219||||||
159.89.5.181|/Dash Core:0.17.0.3/|70220||||||
159.89.5.181|/Dash Core:0.17.0.3/|70221||||||
161.53.201.190|/Dash Core:0.17.0.3/|70219||||||
161.53.201.190|/Dash Core:0.17.0.3/|70220||||||
161.53.201.190|/Dash Core:0.17.0.3/|70221||||||
165.22.52.183|/Dash Core:0.16.1.1/|70218||||||
167.71.228.155|/Dash Core:0.17.0.3/|70219||||||
167.71.228.155|/Dash Core:0.17.0.3/|70220||||||
167.71.228.155|/Dash Core:0.17.0.3/|70221||||||
167.86.116.187|/Dash Core:0.17.0.3/|70219||||||
167.86.116.187|/Dash Core:0.17.0.3/|70220||||||
167.86.116.187|/Dash Core:0.17.0.3/|70221||||||
168.119.240.122|/HCC Core:0.17.0.3/|70219||||||
168.119.87.147|/Dash Core:0.17.0.3/|70219||||||
168.119.87.147|/Dash Core:0.17.0.3/|70220||||||
168.119.87.147|/Dash Core:0.17.0.3/|70221||||||
168.235.85.53|/Dash Core:0.17.0.2/|70219||||||
170.75.163.186|/Dash Core:0.16.1.1/|70218||||||
172.81.179.234|/Dash Core:0.16.1.1/|70218||||||
178.128.229.76|/Dash Core:0.17.0.3/|70219||||||
178.128.229.76|/Dash Core:0.17.0.3/|70220||||||
178.128.229.76|/Dash Core:0.17.0.3/|70221||||||
178.128.255.71|/Dash Core:0.17.0.3/|70219||||||
178.128.255.71|/Dash Core:0.17.0.3/|70220||||||
178.128.255.71|/Dash Core:0.17.0.3/|70221||||||
178.33.238.77|/Dash Core:0.17.0.3/|70219||||||
178.33.238.77|/Dash Core:0.17.0.3/|70220||||||
178.33.238.77|/Dash Core:0.17.0.3/|70221||||||
178.62.244.17|/Dash Core:0.17.0.3/|70219||||||
178.62.244.17|/Dash Core:0.17.0.3/|70220||||||
178.62.244.17|/Dash Core:0.17.0.3/|70221||||||
178.62.251.10|/bitnodes.earn.com:0.1/|70214||||||
178.63.121.141|/Dash Core:0.17.0.3/|70219||||||
178.63.121.141|/Dash Core:0.17.0.3/|70220||||||
178.63.121.141|/Dash Core:0.17.0.3/|70221||||||
178.63.236.105|/Dash Core:0.17.0.3/|70219||||||
178.63.236.105|/Dash Core:0.17.0.3/|70220||||||
178.63.236.105|/Dash Core:0.17.0.3/|70221||||||
18.139.66.125|/Dash Core:0.16.1.1/|70218||||||
185.236.240.101|/Dash Core:0.16.0.1/|70218||||||
185.48.56.96|/Dash Core:0.15.0/|70216||||||
188.40.185.147|/Dash Core:0.17.0.3/|70219||||||
188.40.185.147|/Dash Core:0.17.0.3/|70220||||||
188.40.185.147|/Dash Core:0.17.0.3/|70221||||||
188.40.231.5|/Dash Core:0.17.0.3/|70219||||||
188.40.231.5|/Dash Core:0.17.0.3/|70220||||||
188.40.231.5|/Dash Core:0.17.0.3/|70221||||||
192.184.90.89|/Dash Core:0.17.0.2/|70219||||||
193.29.57.47|/Dash Core:0.17.0.3/|70219||||||
193.29.57.47|/Dash Core:0.17.0.3/|70220||||||
193.29.57.47|/Dash Core:0.17.0.3/|70221||||||
197.232.12.20|/Dash Core:0.17.0.3/|70219||||||
197.232.12.20|/Dash Core:0.17.0.3/|70220||||||
197.232.12.20|/Dash Core:0.17.0.3/|70221||||||
197.242.107.110|/dashwallet:5.7.0/|70219||||||
199.68.199.19|/Dash Core:0.16.1.1/|70218||||||
206.189.140.83|/Dash Core:0.17.0.3/|70219||||||
206.189.140.83|/Dash Core:0.17.0.3/|70220||||||
206.189.140.83|/Dash Core:0.17.0.3/|70221||||||
213.239.209.41|/Dash Core:0.16.1/|70218||||||
216.189.147.174|/Dash Core:0.17.0.3/|70219||||||
216.189.147.174|/Dash Core:0.17.0.3/|70220||||||
216.189.147.174|/Dash Core:0.17.0.3/|70221||||||
3.134.209.180|/Dash Core:0.15.0/|70216||||||
34.127.54.222|/Dash Core:0.17.0.3/|70219||||||
34.127.54.222|/Dash Core:0.17.0.3/|70220||||||
34.127.54.222|/Dash Core:0.17.0.3/|70221||||||
34.221.104.29|/Dash Core:0.17.0.3/|70219||||||
34.221.104.29|/Dash Core:0.17.0.3/|70220||||||
34.221.104.29|/Dash Core:0.17.0.3/|70221||||||
