# https://chainz.cryptoid.info/ and whois results
# Deutsche eMark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.152.33.4|/eMark:1.6.1.2/|60012||||||
107.218.22.183|/eMark:1.5.1/|60011||||||
122.59.4.143|/eMark:1.5.0/|60011||||||
138.199.57.52|/eMark:1.5.1/|60011||||||
139.162.155.117|/eMark:1.6.1.1/|60012|63949|139.162.128.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
147.135.97.55|/eMark:1.6.1/|60012||||||
161.97.112.55|/eMark:1.6.1.1/|60012||||||
164.52.157.50|/eMark:1.6.1.2/|60012||||||
167.86.116.187|/eMark:1.6.1/|60012||||||
172.105.182.91|/eMark:1.6.1.1/|60012|63949|172.105.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
178.238.229.124|/eMark:1.6.1.2/|60012||||||
188.165.203.96|/eMark:1.6.1.2/|60012||||||
195.90.211.174|/eMark:1.6.1.2/|60012||||||
206.72.198.107|/eMark:1.6.1/|60012|19318|206.72.192.0/20|US|arin|2011-10-03|IS-AS-1, US
207.89.76.64|/eMark:1.6.1.2/|60012||||||
208.73.206.109|/eMark:1.6.1.2/|60012||||||
212.90.63.179|/eMark:1.5.1/|60011||||||
213.136.80.217|/eMark:1.6.1.2/|60012||||||
213.162.129.188|/eMark:1.6.1.2/|60012||||||
213.162.142.210|/eMark:1.6.1.2/|60012||||||
213.238.80.192|/eMark:1.6.1.2/|60012||||||
217.138.192.130|/eMark:1.5.1/|60011||||||
217.236.40.1|/eMark:1.6.1.2/|60012||||||
217.252.177.199|/eMark:1.5.0/|60011|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
217.254.45.217|/eMark:1.6.1.2/|60012||||||
217.6.35.242|/eMark:1.6.1.3/|60012|3320|217.0.0.0/13|DE|ripencc|2000-07-28|DTAG Internet service provider operations, DE
217.64.113.60|/eMark:1.6.1.2/|60012||||||
217.87.170.1|/eMark:1.6.1.2/|60012||||||
23.19.245.90|???|0|396362|23.19.244.0/22|US|arin|2011-04-25|LEASEWEB-USA-NYC, US
24.156.52.94|/eMark:1.5.1/|60011||||||
37.19.211.115|/eMark:1.5.1/|60011||||||
37.19.211.8|/eMark:1.5.1/|60011||||||
37.201.195.3|/eMark:1.6.1.2/|60012||||||
37.21.0.46|/eMark:1.6.1.2/|60012||||||
37.49.187.6|/eMark:1.6.1.2/|60012||||||
45.142.176.172|/eMark:1.6.1/|60012|197540|45.142.176.0/22|DE|ripencc|2019-08-19|NETCUP-AS netcup GmbH, DE
45.158.175.66|/eMark:1.6.1.2/|60012||||||
46.114.88.158|/eMark:1.6.1.2/|60012||||||
46.114.88.187|/eMark:1.6.1.2/|60012||||||
46.232.249.107|/eMark:1.6.1/|60012|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
5.146.215.28|/eMark:1.6.1.2/|60012||||||
5.45.106.180|/eMark:1.6.0/|60011|197540|5.45.96.0/20|DE|ripencc|2012-05-24|NETCUP-AS netcup GmbH, DE
5.9.141.86|/eMark:1.5.0/|60011|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
62.178.190.6|/eMark:1.5.1/|60011||||||
66.85.230.183|/eMark:1.6.1.2/|60012||||||
69.180.65.143|/eMark:1.6.1.2/|60012||||||
71.59.187.153|/eMark:1.6.1.2/|60012||||||
78.26.253.160|/eMark:1.6.1.2/|60012||||||
79.240.168.169|/eMark:1.5.1/|60011||||||
80.132.119.62|/eMark:1.5.0/|60011|3320|80.128.0.0/12|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
80.133.145.79|/eMark:1.6.1.2/|60012||||||
80.133.154.167|/eMark:1.6.1.2/|60012||||||
80.133.155.22|/eMark:1.6.1.2/|60012||||||
80.133.157.14|/eMark:1.6.1.2/|60012||||||
80.133.158.153|/eMark:1.6.1.2/|60012||||||
80.133.159.84|/eMark:1.6.1.2/|60012||||||
80.143.202.55|/eMark:1.5.1/|60011||||||
81.169.141.94|/eMark:1.6.1.2/|60012||||||
82.161.34.149|/eMark:1.6.1.2/|60012||||||
82.207.238.151|/eMark:1.6.2/|60012|8881|82.207.238.0/24|DE|ripencc|2003-12-02|VERSATEL, DE
82.212.178.47|/eMark:1.6.1.2/|60012||||||
83.250.154.149|/eMark:1.6.1.2/|60012||||||
83.85.142.36|/eMark:1.6.1.2/|60012||||||
84.174.236.199|/eMark:1.6.1.2/|60012||||||
85.19.25.38|/eMark:1.6.1/|60012||||||
87.102.205.14|/eMark:1.5.1/|60011||||||
87.123.200.80|/eMark:1.6.1.2/|60012||||||
87.123.244.104|/eMark:1.6.1.2/|60012||||||
87.123.244.113|/eMark:1.6.1.2/|60012||||||
87.123.245.107|/eMark:1.5.1/|60011||||||
87.123.245.131|/eMark:1.6.1.2/|60012||||||
87.128.105.199|/eMark:1.6.1.2/|60012||||||
87.129.53.98|/eMark:1.5.1/|60011||||||
87.141.126.119|/eMark:1.5.1/|60011||||||
87.151.108.118|/eMark:1.5.1/|60011||||||
87.211.227.205|/eMark:1.5.1/|60011||||||
88.130.56.79|/eMark:1.6.1.2/|60012||||||
88.217.36.247|/eMark:1.5.1/|60011||||||
88.217.39.16|/eMark:1.5.1/|60011||||||
89.0.149.243|/eMark:1.6.1.2/|60012||||||
89.163.255.142|/eMark:1.5.1/|60011||||||
89.250.166.177|/eMark:1.6.1.2/|60012||||||
89.250.167.59|/eMark:1.6.1.2/|60012||||||
90.186.33.228|/eMark:1.5.1/|60011|3209|90.186.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
90.188.243.175|/eMark:1.5.1/|60011|12389|90.188.243.0/24|RU|ripencc|2006-10-18|ROSTELECOM-AS, RU
91.206.16.214|/eMark:1.6.1/|60012||||||
91.32.144.96|/eMark:1.5.1/|60011|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
91.41.128.169|/eMark:1.6.1.2/|60012||||||
91.41.131.18|/eMark:1.6.1.2/|60012||||||
91.41.132.156|/eMark:1.6.1.2/|60012||||||
91.41.133.119|/eMark:1.6.1.2/|60012||||||
91.41.133.66|/eMark:1.6.1.2/|60012||||||
91.41.134.191|/eMark:1.6.1.2/|60012||||||
91.41.134.218|/eMark:1.6.1.2/|60012||||||
91.42.195.104|/eMark:1.6.1.2/|60012||||||
91.42.201.201|/eMark:1.6.1.2/|60012||||||
91.43.64.173|/eMark:1.6.1.2/|60012||||||
91.7.243.195|/eMark:1.6.1.2/|60012||||||
93.197.228.105|/eMark:1.6.1.2/|60012||||||
93.197.230.175|/eMark:1.6.1.2/|60012||||||
93.205.87.42|/eMark:1.5.1/|60011|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
93.212.213.15|/eMark:1.6.1.2/|60012||||||
93.226.119.216|/eMark:1.5.1/|60011|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
93.238.101.160|/eMark:1.6.1.2/|60012||||||
94.134.91.117|/eMark:1.6.2/|60012|8881|94.134.91.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.23.209.98|/eMark:1.5.1/|60011|16276|94.23.0.0/16|FR|ripencc|2008-07-15|OVH, FR
95.153.171.214|/eMark:1.6.1.2/|60012||||||
95.217.78.79|/eMark:1.6.1.2/|60012||||||
95.237.98.173|/eMark:1.6.1.2/|60012||||||
95.90.198.116|/eMark:1.4.1/|60010|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
95.91.252.110|/eMark:1.5.1/|60011|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
