# https://chainz.cryptoid.info/ and whois results
# Divicoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.226.15.220|DIVI Core: 2.0.1.0|70915||||||
134.122.42.16|DIVI Core: 2.0.1.0|70915||||||
137.184.70.30|DIVI Core: 2.7.0.0|70915||||||
138.68.169.155|DIVI Core: 2.7.0.0|70915||||||
139.59.87.115|DIVI Core: 2.5.1.0|70915||||||
142.93.212.151|DIVI Core: 2.0.1.0|70915||||||
142.93.212.16|DIVI Core: 2.0.1.0|70915||||||
142.93.234.101|DIVI Core: 2.0.1.0|70915||||||
143.110.212.172|DIVI Core: 2.0.1.0|70915||||||
144.126.212.127|DIVI Core: 2.0.1.0|70915||||||
147.182.128.251|DIVI Core: 2.5.0.0|70915||||||
151.80.59.50|DIVI Core: 2.0.1.0|70915||||||
157.230.92.49|DIVI Core: 2.0.1.0|70915||||||
157.245.137.252|DIVI Core: 2.0.1.0|70915||||||
159.223.164.75|DIVI Core: 2.7.0.0|70915||||||
159.223.24.39|DIVI Core: 2.5.1.0|70915||||||
159.89.0.201|DIVI Core: 2.0.1.0|70915||||||
161.35.212.6|DIVI Core: 2.0.1.0|70915||||||
165.227.134.39|DIVI Core: 2.0.1.0|70915||||||
167.172.106.97|DIVI Core: 2.7.0.0|70915||||||
167.71.141.69|DIVI Core: 2.5.1.0|70915||||||
167.71.78.104|DIVI Core: 2.0.1.0|70915||||||
178.128.244.173|DIVI Core: 2.0.1.0|70915||||||
178.62.254.64|DIVI Core: 2.0.1.0|70915||||||
178.62.46.179|DIVI Core: 2.0.1.0|70915||||||
206.189.185.137|DIVI Core: 2.0.1.0|70915||||||
50.65.192.90|DIVI Core: 2.5.1.0|70915||||||
62.75.201.13|DIVI Core: 2.0.1.0|70915||||||
66.191.17.233|DIVI Core: 2.5.1.0|70915||||||
68.183.202.203|DIVI Core: 2.0.1.0|70915||||||
68.4.157.45|DIVI Core: 2.5.1.0|70915||||||
73.159.210.14|DIVI Core: 2.5.1.0|70915||||||
73.187.24.167|DIVI Core: 2.5.1.0|70915||||||
80.86.87.9|DIVI Core: 2.0.1.0|70915||||||
