# https://chainz.cryptoid.info/ and whois results
# e-Gulden
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
128.127.104.196|/Christiaan Huygens:1.5.0/|70015||||||
136.144.210.129|/Christiaan Huygens:1.4.3.2/|70015||||||
138.201.196.237|/Christiaan Huygens:1.5.0/|70015|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
185.117.74.45|/Christiaan Huygens:1.4.3.2/|70015||||||
185.12.216.5|/Christiaan Huygens:1.5.0/|70015||||||
192.222.139.154|/Christiaan Huygens:1.4.3.2/|70015||||||
194.78.137.82|/Christiaan Huygens:1.4.3.2/|70015||||||
213.118.234.188|/Christiaan Huygens:1.4.3.2/|70015||||||
217.123.119.148|/Christiaan Huygens:1.4.3.2/|70015||||||
24.51.166.178|/Christiaan Huygens:1.5.0/|70015||||||
24.89.42.245|/Christiaan Huygens:1.5.0/|70015||||||
46.101.235.143|/Christiaan Huygens:1.4.3.2/|70015||||||
52.174.166.154|/Christiaan Huygens:1.4.3.2/|70015||||||
52.174.33.15|/Christiaan Huygens:1.4.3.2/|70015||||||
52.18.185.42|/Christiaan Huygens:1.4.0/|70015||||||
62.171.185.166|/Christiaan Huygens:1.4.3.2/|70015||||||
62.251.87.127|/Christiaan Huygens:1.4.3/|70015||||||
72.82.239.210|/Christiaan Huygens:1.4.3.2/|70015||||||
75.119.132.113|/Christiaan Huygens:1.4.3.2/|70015||||||
77.165.138.44|/Christiaan Huygens:1.4.3.2/|70015||||||
81.169.178.19|/Christiaan Huygens:1.5.0/|70015||||||
81.169.248.207|/Christiaan Huygens:1.4.3.2/|70015||||||
82.201.48.126|/Christiaan Huygens:1.4.3.2/|70015||||||
83.83.199.21|/Christiaan Huygens:1.4.3.2/|70015||||||
84.83.124.96|/Christiaan Huygens:1.4.3.2/|70015||||||
85.144.215.224|/Christiaan Huygens:1.4.3.2/|70015||||||
85.15.179.171|/Christiaan Huygens:1.4.3.2/|70015||||||
85.214.38.59|/Christiaan Huygens:1.4.0/|70015||||||
86.100.49.209|/Christiaan Huygens:1.4.3.2/|70015|39007|86.100.0.0/17|LT|ripencc|2005-05-23|BALTICUM-TV-AS, LT
86.85.237.176|/Christiaan Huygens:1.4.3.2/|70015||||||
91.206.16.214|/Christiaan Huygens:1.4.3.2/|70015||||||
94.130.35.94|/Christiaan Huygens:1.4.3.2/|70015|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
