# https://chainz.cryptoid.info/ and whois results
# Feathercoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.13.171.254|/Feathercoin:0.19.1/|70016||||||
104.238.221.41|Feathercoin:0.19.1|70016|23470|104.238.221.0/24|US|arin|2018-04-13|RELIABLESITE, US
114.222.212.69|/Feathercoin:0.19.1/|70016|4134|114.216.0.0/13|CN|apnic|2008-06-24|CHINANET-BACKBONE No.31,Jin-rong Street, CN
122.59.11.201|/Feathercoin:0.19.1/|70016||||||
13.209.60.161|/Feathercoin:0.19.1/|70016|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
139.162.216.67|/Feathercoin:0.19.1/|70016||||||
139.59.154.236|/Feathercoin:0.19.1/|70016||||||
142.112.0.42|/Feathercoin:0.19.1/|70016||||||
143.110.159.82|/Feathercoin:0.19.1/|70016||||||
143.198.121.253|Feathercoin:0.19.1|70016|14061|143.198.112.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
147.135.97.55|/Feathercoin:0.18.3/|70016||||||
148.59.149.52|/Feathercoin:0.18.2/|70016||||||
149.202.78.163|/Feathercoin:0.19.1/|70016||||||
149.56.155.28|/Feathercoin:0.19.1/|70016|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
159.69.64.208|/Feathercoin:0.19.1/|70016||||||
161.97.172.98|/Feathercoin:0.19.1/|70016||||||
170.51.201.146|/Feathercoin:0.13.1/|70015||||||
173.56.235.225|/Feathercoin:0.18.2/|70016||||||
173.91.7.192|/Feathercoin:0.19.1/|70016||||||
175.27.231.253|/Feathercoin:0.19.1/|70016||||||
176.26.113.154|/Feathercoin:0.19.1/|70016||||||
176.9.50.227|/Feathercoin:0.17.0/|70016||||||
178.18.247.153|/Feathercoin:0.19.1/|70016||||||
185.17.164.161|/Feathercoin:0.17.0.1/|70016||||||
185.220.100.243|/Feathercoin:0.17.0.1/|70016||||||
185.220.101.53|/Feathercoin:0.17.0.1/|70016||||||
185.45.193.32|/Feathercoin:0.19.1/|70016||||||
188.165.255.50|/Feathercoin:0.19.1/|70016||||||
188.166.227.187|/Feathercoin:0.19.1/|70016||||||
188.166.72.211|/Feathercoin:0.18.3/|70016||||||
188.31.10.185|/Feathercoin:0.19.1/|70016||||||
193.40.103.252|/Feathercoin:0.19.1/|70016||||||
194.124.156.44|/Feathercoin:0.19.1/|70016||||||
195.201.160.242|/Feathercoin:0.19.1/|70016||||||
195.201.164.117|/Feathercoin:0.19.1/|70016||||||
198.100.149.160|/Feathercoin:0.19.1/|70016||||||
198.211.114.53|/Feathercoin:0.19.1/|70016||||||
198.27.70.189|/Feathercoin:0.19.1/|70016||||||
199.127.62.235|Feathercoin:0.19.1|70016|23470|199.127.62.0/24|US|arin|2017-05-24|RELIABLESITE, US
2.29.143.16|/Feathercoin:0.18.1/|70016||||||
206.189.158.128|/Feathercoin:0.19.1/|70016||||||
217.146.87.34|/Feathercoin:0.19.1/|70016||||||
217.155.198.217|/Feathercoin:0.13.0/|70015||||||
3.121.247.139|/Feathercoin:0.19.1/|70016|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
34.225.224.198|/Feathercoin:0.19.1/|70016|14618|34.224.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
34.231.68.33|/Feathercoin:0.19.1/|70016||||||
38.133.44.40|/Feathercoin:0.19.1/|70016||||||
43.227.255.125|/Feathercoin:0.18.2/|70016||||||
44.226.133.129|/Feathercoin:0.19.1/|70016||||||
45.126.209.106|Feathercoin:0.19.1|70016|23470|45.126.209.0/24|SG|apnic|2015-09-08|RELIABLESITE, US
45.72.222.44|/FeathercoinJ:0.99/Feathercoin Wallet:3.05/|70006||||||
46.101.143.71|/Feathercoin:0.13.3/|70015||||||
46.23.35.70|/Feathercoin:0.19.1/|70016||||||
5.147.48.41|/Feathercoin:0.18.3/|70016||||||
5.188.173.19|/Feathercoin:0.19.1/|70016|56630|5.188.173.0/24|LT|ripencc|2012-08-09|MELBICOM-EU-AS Melbikomas UAB, LT
50.220.121.211|/Feathercoin:0.19.1/|70016|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
51.195.31.242|/Feathercoin:0.19.1/|70016|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.195.31.243|/Feathercoin:0.16.3/|70015|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.210.32.161|/Feathercoin:0.19.1/|70016||||||
58.186.28.126|/Feathercoin:0.19.1/|70016|18403|58.186.28.0/23|VN|apnic|2005-07-14|FPT-AS-AP FPT Telecom Company, VN
58.35.13.158|/Feathercoin:0.19.1/|70016|4812|58.35.0.0/16|CN|apnic|2005-01-28|CHINANET-SH-AP China Telecom Group, CN
62.12.153.168|/Feathercoin:0.19.1/|70016||||||
66.70.182.1|/Feathercoin:0.19.1/|70016||||||
