# https://chainz.cryptoid.info/ and whois results
# GoldCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.100.174.157|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.101.104.116|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.105.31.79|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000||||||
103.105.31.89|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000||||||
103.105.33.98|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.105.34.103|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.108.20.69|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.11.106.215|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.111.141.65|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.111.202.182|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.119.67.11|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.127.65.158|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.131.18.13|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.133.56.221|/GoldcoinCore:0.14.8/|70015||||||
103.138.49.126|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.144.14.93|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.144.179.184|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.144.90.14|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.0/|70000||||||
103.147.82.248|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.151.219.162|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.153.149.34|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.156.17.91|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.156.57.54|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.157.49.7|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.172.17.39|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.247.196.155|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.247.196.239|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.78.114.36|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.78.115.47|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.88.170.114|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.89.76.76|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.9.145.74|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
104.163.172.86|/GoldcoinCore:0.14.8/|70015||||||
107.145.202.123|/GoldcoinCore:0.14.5/|70015||||||
107.191.98.132|/GoldcoinCore:0.14.8/|70015||||||
107.3.220.115|/GoldcoinCore:0.14.8/|70015||||||
108.24.93.63|/GoldcoinCore:0.14.8/|70015||||||
109.104.166.23|/GoldcoinCore:0.14.8/|70015||||||
110.136.231.162|/GoldcoinCore:0.14.8/|70015||||||
110.136.56.62|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.137.100.146|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.137.102.227|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.137.103.12|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.137.103.129|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.137.236.127|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.138.90.140|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.139.176.35|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
110.139.200.46|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
