# https://chainz.cryptoid.info/ and whois results
# GlobalToken
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
114.67.113.237|/GlobalToken:3.2.0/|80002|4812|114.67.64.0/18|CN|apnic|2008-05-07|CHINANET-SH-AP China Telecom Group, CN
116.203.29.13|/GlobalToken:3.2.1/|80002||||||
117.78.33.158|/GlobalToken:3.2.1/|80002||||||
134.255.254.180|/GlobalToken:3.2.1/|80002||||||
135.181.99.177|/GlobalToken:3.2.1/|80002||||||
14.138.99.173|/GlobalToken:3.2.1/|80002||||||
144.76.172.181|/GlobalToken:3.2.1/|80002||||||
144.91.76.92|/GlobalToken:3.2.1/|80002||||||
147.135.97.183|/GlobalToken:3.2.1/|80002||||||
147.135.97.55|/GlobalToken:3.2.1/|80002||||||
150.158.147.23|/GlobalToken:3.2.1/|80002||||||
159.69.92.122|/GlobalToken:3.2.1/|80002||||||
164.68.110.118|/GlobalToken:3.2.1/|80002||||||
165.22.194.179|/GlobalToken:3.2.1/|80002||||||
167.86.96.198|/GlobalToken:3.2.1/|80002|51167|167.86.96.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.209.45|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.209.64|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.211.59|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.213.3|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.213.80|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.214.166|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.215.150|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.217.181|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.218.39|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.219.14|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.222.100|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.223.33|/GlobalToken:3.2.1/|80002||||||
173.212.226.175|/GlobalToken:3.2.1/|80002|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.212.226.199|/GlobalToken:3.2.1/|80002|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.212.226.248|/GlobalToken:3.2.1/|80002|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.249.6.95|/GlobalToken:3.2.0/|80002||||||
178.195.84.151|/GlobalToken:3.2.1/|80002|3303|178.194.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.63.11.230|/GlobalToken:3.2.1/|80002||||||
178.83.130.73|/GlobalToken:3.2.1/|80002||||||
185.162.248.82|/GlobalToken:3.2.1/|80002|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
185.162.251.66|/GlobalToken:3.2.0/|80002||||||
185.177.59.106|???|0||||||
185.206.147.111|???|0||||||
185.233.104.171|/GlobalToken:3.2.0/|80002||||||
185.82.203.241|/GlobalToken:3.2.0/|80002||||||
188.68.59.5|/GlobalToken:3.2.0/|80002||||||
193.37.212.66|???|0||||||
193.37.213.45|???|0||||||
193.37.214.176|???|0||||||
212.109.218.32|/GlobalToken:3.2.1/|80002|29182|212.109.218.0/23|RU|ripencc|1999-05-21|THEFIRST-AS, RU
213.196.144.28|/GlobalToken:3.2.1/|80002|21040|213.196.128.0/18|CH|ripencc|2000-04-07|DATAPARK, CH
216.137.116.136|/GlobalToken:3.2.1/|80002||||||
218.78.82.143|/GlobalToken:3.2.1/|80002|4812|218.78.0.0/17|CN|apnic|2001-06-28|CHINANET-SH-AP China Telecom Group, CN
36.83.116.126|/GlobalToken:3.2.1/|80002|7713|36.83.112.0/20|ID|apnic|2011-01-14|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
37.120.167.36|/GlobalToken:3.2.0/|80002||||||
37.120.175.24|/GlobalToken:3.2.1/|80002|197540|37.120.160.0/19|DE|ripencc|2012-02-13|NETCUP-AS netcup GmbH, DE
37.120.185.202|/GlobalToken:3.2.0/|80002||||||
37.120.187.173|/GlobalToken:3.2.0/|80002||||||
37.120.187.191|/GlobalToken:3.2.0/|80002||||||
37.221.192.153|/GlobalToken:3.2.0/|80002||||||
45.129.183.19|/GlobalToken:3.2.1/|80002|197540|45.129.180.0/22|DE|ripencc|2019-07-16|NETCUP-AS netcup GmbH, DE
46.101.235.143|/GlobalToken:3.1.0/|80001||||||
46.232.250.20|/GlobalToken:3.2.1/|80002|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.38.236.22|/GlobalToken:3.2.0/|80002||||||
5.181.48.203|/GlobalToken:3.2.1/|80002|197540|5.181.48.0/22|DE|ripencc|2019-04-02|NETCUP-AS netcup GmbH, DE
5.188.173.19|/GlobalToken:3.2.1/|80002||||||
51.144.133.148|/GlobalToken:3.2.1/|80002|8075|51.144.0.0/15|GB|ripencc|1993-09-01|MICROSOFT-CORP-MSN-AS-BLOCK, US
61.171.55.239|/GlobalToken:3.2.1/|80002|4812|61.171.0.0/17|CN|apnic|2000-11-16|CHINANET-SH-AP China Telecom Group, CN
62.1.246.187|/GlobalToken:3.2.1/|80002|1241|62.1.128.0/17|GR|ripencc|2000-02-16|FORTHNET-GR Forthnet, EU
72.68.67.27|/GlobalToken:3.2.1/|80002|701|72.68.0.0/17|US|arin|2005-06-24|UUNET, US
74.197.209.216|/GlobalToken:3.2.1/|80002|19108|74.197.192.0/19|US|arin|2006-09-27|SUDDENLINK-COMMUNICATIONS, US
82.64.185.60|/GlobalToken:3.2.1/|80002||||||
82.66.94.6|/GlobalToken:3.2.1/|80002||||||
83.162.241.6|/GlobalToken:3.2.0/|80002||||||
84.24.229.106|/GlobalToken:3.2.1/|80002|33915|84.24.0.0/14|NL|ripencc|2004-07-01|TNF-AS, NL
85.15.179.171|/GlobalToken:3.2.1/|80002||||||
91.206.16.214|/GlobalToken:3.2.1/|80002||||||
91.92.136.108|???|0||||||
92.60.36.243|/GlobalToken:3.2.0/|80002||||||
92.60.37.172|/GlobalToken:3.2.0/|80002||||||
92.60.37.219|/GlobalToken:3.2.1/|80002|197540|92.60.36.0/22|DE|ripencc|2018-08-23|NETCUP-AS netcup GmbH, DE
97.91.37.14|/GlobalToken:3.2.1/|80002|20115|97.91.0.0/18|US|arin|2007-03-21|CHARTER-20115, US
