# https://chainz.cryptoid.info/ and whois results
# HTH
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
119.45.148.50|/HelpTheHomeless:0.14.0.8/|70216|45090|119.45.144.0/20|CN|apnic|2008-01-03|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.120.13.59|/HelpTheHomeless:0.14.0.8/|70216|17552|124.120.0.0/18|TH|apnic|2006-02-16|TRUEONLINE-AS-AP True Online, TH
125.162.212.68|/HelpTheHomeless:0.14.0.8/|70216||||||
138.201.34.29|/HelpTheHomeless:0.14.0.8/|70216||||||
138.201.4.28|/HelpTheHomeless:0.14.0.8/|70216|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
143.198.166.238|/HelpTheHomeless:0.14.0.8/|70216|14061|143.198.160.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
144.126.148.238|/HelpTheHomeless:0.14.0.8/|70216||||||
147.135.97.55|/HelpTheHomeless:0.14.0.8/|70216||||||
155.138.198.71|/HelpTheHomeless:0.14.0.8/|70216|20473|155.138.192.0/19|US|arin|2018-12-05|AS-CHOOPA, US
159.65.165.66|/HelpTheHomeless:0.14.0.8/|70216|14061|159.65.160.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
165.227.68.190|/HelpTheHomeless:0.14.0.8/|70216|14061|165.227.64.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
168.235.93.53|/HelpTheHomeless:0.14.0.7/|70216|3842|168.235.92.0/22|US|arin|2014-06-26|RAMNODE, US
171.25.167.187|/HelpTheHomeless:0.14.0.8/|70216||||||
173.212.221.11|/HelpTheHomeless:0.14.0.8/|70216||||||
174.52.137.34|/HelpTheHomeless:0.14.0.8/|70216||||||
179.49.34.41|/HelpTheHomeless:0.14.0.8/|70216|22724|179.49.34.0/24|EC|lacnic|2013-04-26|PUNTONET S.A., EC
185.13.113.250|/HelpTheHomeless:0.14.0.8/|70216||||||
185.180.220.94|/HelpTheHomeless:0.14.0.8/|70216|49981|185.180.220.0/22|NL|ripencc|2016-12-07|WORLDSTREAM, NL
185.209.105.76|/HelpTheHomeless:0.14.0.8/|70216|201035|185.209.105.0/24|DE|ripencc|2017-06-20|LUENECOM-AS, DE
188.27.77.56|/HelpTheHomeless:0.14.0.8/|70216|8708|188.27.0.0/16|RO|ripencc|2009-02-11|RCS-RDS 73-75 Dr. Staicovici, RO
207.180.231.183|/HelpTheHomeless:0.14.0.8/|70216|51167|207.180.230.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.244.227.239|/HelpTheHomeless:0.14.0.8/|70216|40021|207.244.224.0/20|US|arin|2021-05-07|CONTABO, US
207.244.240.27|/HelpTheHomeless:0.14.0.8/|70216|40021|207.244.240.0/20|US|arin|2021-05-07|CONTABO, US
24.229.158.108|/HelpTheHomeless:0.14.0.8/|70216||||||
24.235.132.149|/HelpTheHomeless:0.14.0.8/|70216|7992|24.235.128.0/17|CA|arin|2003-01-24|COGECOWAVE, CA
3.120.185.166|/HelpTheHomeless:0.14.0.8/|70216|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
34.211.213.53|/HelpTheHomeless:0.14.0.8/|70216|16509|34.208.0.0/12|US|arin|2016-09-12|AMAZON-02, US
36.75.252.96|/HelpTheHomeless:0.14.0.8/|70216||||||
37.26.136.250|/HelpTheHomeless:0.14.0.8/|70216||||||
46.246.41.171|/HelpTheHomeless:0.14.0.8/|70216|42708|46.246.0.0/17|SE|ripencc|2011-01-27|PORTLANE www.portlane.com, SE
47.151.7.226|/HelpTheHomeless:0.14.0.8/|70216||||||
5.180.62.22|/HelpTheHomeless:0.14.0.8/|70216||||||
50.21.190.189|/HelpTheHomeless:0.14.0.8/|70216|8560|50.21.176.0/20|US|arin|2011-02-24|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE
51.83.186.57|/HelpTheHomeless:0.14.0.8/|70216||||||
65.108.18.207|/HelpTheHomeless:0.14.0.8/|70216|24940|65.108.0.0/16|DE|ripencc|2001-02-09|HETZNER-AS, DE
65.21.206.123|/HelpTheHomeless:0.14.0.8/|70216|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
66.70.182.1|/HelpTheHomeless:0.14.0.8/|70216||||||
72.179.39.13|/HelpTheHomeless:0.14.0.8/|70216||||||
72.218.41.147|/HelpTheHomeless:0.14.0.8/|70216||||||
74.208.108.142|/HelpTheHomeless:0.14.0.8/|70216|8560|74.208.0.0/16|US|arin|2006-11-22|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE
77.181.54.159|/HelpTheHomeless:0.14.0.8/|70216|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
77.185.121.217|/HelpTheHomeless:0.14.0.8/|70216|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
82.12.124.35|/HelpTheHomeless:0.14.0.8/|70216|5089|82.12.0.0/14|GB|ripencc|2003-02-28|NTL, GB
84.174.237.230|/HelpTheHomeless:0.14.0.8/|70216||||||
85.19.25.38|/HelpTheHomeless:0.14.0.8/|70216||||||
88.131.213.108|/HelpTheHomeless:0.14.0.8/|70216||||||
88.99.17.41|/HelpTheHomeless:0.14.0.8/|70216|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
90.199.5.216|/HelpTheHomeless:0.14.0.8/|70216|5607|90.192.0.0/11|GB|ripencc|2006-05-31|BSKYB-BROADBAND-AS, GB
92.60.45.250|/HelpTheHomeless:0.14.0.8/|70216||||||
95.216.228.253|/HelpTheHomeless:0.14.0.8/|70216||||||
95.216.234.131|/HelpTheHomeless:0.14.0.8/|70216|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.73.42|/HelpTheHomeless:0.14.0.8/|70216||||||
95.216.97.93|/HelpTheHomeless:0.14.0.8/|70216||||||
95.217.145.114|/HelpTheHomeless:0.14.0.8/|70216||||||
95.217.95.251|/HelpTheHomeless:0.14.0.8/|70216|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
