# https://chainz.cryptoid.info/ and whois results
# I/O Coin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
145.40.212.51|/Satoshi:15.0.0/|60022||||||
154.21.208.129|/Satoshi:15.0.0/|60022||||||
158.181.113.113|/Satoshi:15.0.0/|60022||||||
165.227.8.45|/Satoshi:15.0.0/|60022||||||
178.128.173.175|/Satoshi:15.0.0/|60022||||||
178.155.6.193|/Satoshi:15.0.0/|60022||||||
178.18.163.198|/Satoshi:15.0.0/|60022||||||
178.62.40.118|/Satoshi:15.0.0/|60022||||||
185.189.114.130|/Satoshi:15.0.0/|60022||||||
188.194.57.250|/Satoshi:15.0.0/|60022||||||
188.26.195.194|/Satoshi:15.0.0/|60022||||||
188.63.28.117|/Satoshi:15.0.0/|60022||||||
191.101.209.14|/Satoshi:15.0.0/|60022||||||
24.186.120.105|/Satoshi:15.0.0/|60022||||||
37.24.181.170|/Satoshi:15.0.0/|60022||||||
40.115.13.33|/Satoshi:15.0.0/|60022||||||
46.42.19.237|/Satoshi:15.0.0/|60022||||||
51.174.94.253|/Satoshi:15.0.0/|60022||||||
62.171.182.3|/Satoshi:15.0.0/|60022||||||
66.176.165.128|/Satoshi:15.0.0/|60022||||||
71.179.61.17|/Satoshi:15.0.0/|60022||||||
73.124.57.219|/Satoshi:15.0.0/|60022||||||
73.4.225.80|/Satoshi:15.0.0/|60022||||||
75.73.142.244|/Satoshi:15.0.0/|60022||||||
81.166.150.125|/Satoshi:15.0.0/|60022|29695|81.166.0.0/15|NO|ripencc|2005-01-04|ALTIBOX_AS Norway, NO
81.169.204.110|/Satoshi:15.0.0/|60022|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
82.136.122.24|/Satoshi:15.0.0/|60022|8821|82.136.64.0/18|CH|ripencc|2003-06-30|TELEZUG WWZ Telekom AG TELEZUG, CH
83.233.60.25|/Satoshi:15.0.0/|60022|29518|83.233.0.0/16|SE|ripencc|2004-02-06|BREDBAND2, SE
83.78.206.28|/Satoshi:15.0.0/|60022|3303|83.78.0.0/16|CH|ripencc|2003-12-10|SWISSCOM Swisscom Switzerland Ltd, CH
84.106.253.200|/Satoshi:15.0.0/|60022|33915|84.106.0.0/15|NL|ripencc|2004-04-26|TNF-AS, NL
86.8.144.52|/Satoshi:15.0.0/|60022|5089|86.8.128.0/17|GB|ripencc|2005-03-29|NTL, GB
91.150.165.38|/Satoshi:15.0.0/|60022||||||
94.216.197.146|/Satoshi:15.0.0/|60022|3209|94.216.0.0/13|DE|ripencc|2008-07-28|VODANET International IP-Backbone of Vodafone, DE
95.217.78.79|/Satoshi:15.0.0/|60022||||||
