# https://chainz.cryptoid.info/ and whois results
# Bitmark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.152.33.4|/Pfennig:0.9.7.4/|70003|11878|107.152.33.0/24|US|arin|2013-12-03|TZULO, US
107.152.42.180|/Pfennig:0.9.7.4/|70003|11878|107.152.42.0/24|US|arin|2013-12-03|TZULO, US
139.162.122.138|/Pfennig:0.9.7.3/|70003|63949|139.162.96.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
139.162.128.92|/bitmarkseeder:0.01/|60000|63949|139.162.128.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
14.242.124.224|/Pfennig:0.9.7.2/|70003|45899|14.242.112.0/20|VN|apnic|2010-08-16|VNPT-AS-VN VNPT Corp, VN
14.242.125.223|/Pfennig:0.9.7.2/|70003|45899|14.242.112.0/20|VN|apnic|2010-08-16|VNPT-AS-VN VNPT Corp, VN
151.28.95.19|/Pfennig:0.9.7.2/|70003|1267|151.28.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
157.161.128.56|/Pfennig:0.9.7.2/|70003|6772|157.161.0.0/16|CH|ripencc|2004-04-07|IMPNET-AS, CH
173.255.252.140|/Pfennig:0.9.7.4/|70003|63949|173.255.252.0/24|US|arin|2010-08-27|LINODE-AP Linode, LLC, US
178.238.224.213|/Pfennig:0.9.7.3/|70003|51167|178.238.224.0/23|DE|ripencc|2010-07-28|CONTABO, DE
203.153.196.218|/Pfennig:0.9.7.4/|70003|9336|203.153.192.0/20|AU|apnic|2005-09-02|WWWIRES-AU World Without Wires Pty Ltd, AU
206.72.198.107|/Pfennig:0.9.7.2/|70003|19318|206.72.192.0/20|US|arin|2011-10-03|IS-AS-1, US
31.25.241.224|/Pfennig:0.9.7.2/|70003|39741|31.25.241.0/24|RU|ripencc|2011-03-10|DCE-AS, RU
45.33.65.161|/Pfennig:0.9.7.4/|70003|63949|45.33.64.0/19|US|arin|2015-03-20|LINODE-AP Linode, LLC, US
5.188.104.245|/Pfennig:0.9.7.2/|70003|199860|5.188.104.0/23|RU|ripencc|2012-08-09|XELENT-AS, RU
67.43.1.184|/Pfennig:0.9.7.2/|70003|32244|67.43.0.0/20|US|arin|2004-03-08|LIQUIDWEB, US
79.135.88.7|/Pfennig:0.9.7.2/|70003|5563|79.135.88.0/21|RU|ripencc|2007-10-30|URAL Ural Regional Net, RU
83.221.211.116|/Pfennig:0.9.7.2/|70003|21479|83.221.192.0/19|RU|ripencc|2004-04-15|ROSTOV-TELEGRAF-AS, RU
84.90.20.242|/Pfennig:0.9.7.2/|70003|13156|84.90.20.0/24|PT|ripencc|2004-05-12|AS13156 Palmela, PT
85.15.179.171|/Pfennig:0.9.7.2/|70003|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
91.206.16.214|/Pfennig:0.9.7.2/|70003|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
92.248.253.205|/Pfennig:0.9.7.2/|70003|51604|92.248.128.0/17|RU|ripencc|2007-11-13|EKAT-AS, RU
94.19.132.255|/Pfennig:0.9.7.2/|70003|35807|94.19.128.0/17|RU|ripencc|2008-07-03|SKYNET-SPB-AS, RU
95.129.140.52|/Pfennig:0.9.7.4/|70003|5572|95.129.140.0/24|RU|ripencc|2009-02-17|BOTIK Public network of Pereslavl-Zalessky, RU
95.129.140.55|/Pfennig:0.9.7.4/|70003|5572|95.129.140.0/24|RU|ripencc|2009-02-17|BOTIK Public network of Pereslavl-Zalessky, RU
95.216.144.109|/Pfennig:0.9.7.2/|70003|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.6.174|/Pfennig:0.9.7.4/|70003|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.78.252.70|/Pfennig:0.9.7.2/|70003|42683|95.78.224.0/19|RU|ripencc|2008-12-10|ERTH-OREN-AS, RU
