# https://chainz.cryptoid.info/ and whois results
# Mooncoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.149.140.130|/MooncoinCore:0.17.1/|70017||||||
104.173.76.242|/Mooncoin:0.10.5/|70002|20001|104.172.0.0/14|US|arin|2014-08-13|TWC-20001-PACWEST, US
106.38.92.46|/Mooncoin:0.13.9/|70016|4847|106.38.0.0/16|CN|apnic|2011-03-18|CNIX-AP China Networks Inter-Exchange, CN
107.3.191.36|/loaf-android:17.3.3/|70015|7922|107.0.0.0/14|US|arin|2010-06-29|COMCAST-7922, US
108.61.250.169|/MooncoinCore:0.17.1/|70017||||||
110.174.168.102|/MooncoinCore:0.17.1/|70017|7545|110.174.168.0/24|AU|apnic|2009-05-08|TPG-INTERNET-AP TPG Telecom Limited, AU
111.229.221.109|/MooncoinCore:0.17.1/|70017|45090|111.229.192.0/18|CN|apnic|2009-07-28|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
120.16.16.177|/Mooncoin:0.13.9/|70016|133612|120.16.0.0/18|AU|apnic|2008-03-07|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
122.59.4.143|/MooncoinCore:0.17.1/|70017|4771|122.59.0.0/21|NZ|apnic|2008-09-16|SPARKNZ Spark New Zealand Trading Ltd., NZ
131.226.66.91|/loaf-android:17.3.3/|70015|139831|131.226.66.0/23|PH|apnic|1995-12-26|DTC-AS-AP DITO TELECOMMUNITY CORP., PH
134.209.233.253|/MooncoinCore:0.17.1/|70017|14061|134.209.224.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
140.82.44.141|/MooncoinCore:0.17.1/|70017|20473|140.82.44.0/22|US|arin|2018-03-15|AS-CHOOPA, US
141.101.174.249|/Mooncoin:0.13.9/|70016|9009|141.101.174.0/24|NL|ripencc|2011-06-23|M247, GB
142.163.136.184|/MooncoinCore:0.17.1/|70017|855|142.163.136.0/22|CA|arin|1992-08-26|CANET-ASN-4, CA
149.248.55.181|/MooncoinCore:0.17.1/|70017|20473|149.248.48.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.28.136.26|/Mooncoin:0.13.9/|70016|20473|149.28.128.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.82.11|/MooncoinCore:0.17.1/|70017|20473|149.28.64.0/19|US|arin|2018-05-04|AS-CHOOPA, US
157.90.26.183|/MooncoinCore:0.17.1/|70017|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
159.196.219.68|/MooncoinCore:0.17.1/|70017||||||
161.35.99.205|/MooncoinCore:0.17.1/|70017|14061|161.35.96.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
161.97.172.98|/MooncoinCore:0.17.1/|70017|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
