# https://chainz.cryptoid.info/ and whois results
# MonetaryUnit
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.237.11.28|/MonetaryUnit Core:2.2.0/|70704||||||
113.212.172.35|/MonetaryUnit Core:2.2.0/|70704||||||
144.91.116.146|/MonetaryUnit Core:2.2.0/|70704||||||
155.138.234.143|/MonetaryUnit Core:2.2.0/|70704||||||
167.86.119.78|/MonetaryUnit Core:2.2.0/|70704||||||
173.212.223.117|/MonetaryUnit Core:2.2.0/|70704||||||
173.79.75.72|/MonetaryUnit Core:2.2.0/|70704||||||
177.242.218.103|/MonetaryUnit Core:2.2.0/|70704||||||
185.105.88.219|/MonetaryUnit Core:2.2.0/|70704||||||
185.107.80.193|/MonetaryUnit Core:2.2.0/|70704||||||
185.185.126.123|/MonetaryUnit Core:2.2.0/|70704||||||
185.242.112.22|/MonetaryUnit Core:2.2.0/|70704||||||
185.242.112.9|/MonetaryUnit Core:2.2.0/|70704||||||
188.79.102.49|/MonetaryUnit Core:2.2.0/|70704||||||
189.167.205.170|/MonetaryUnit Core:2.2.0/|70704||||||
190.96.1.19|/MonetaryUnit Core:2.2.0/|70704||||||
193.2.36.36|/MonetaryUnit Core:2.2.0/|70704||||||
194.163.189.106|/MonetaryUnit Core:2.2.0/|70704||||||
24.134.107.237|/MonetaryUnit Core:2.2.0/|70704||||||
45.32.145.53|/MonetaryUnit Core:2.2.0/|70704||||||
45.76.63.94|/MonetaryUnit Core:2.2.0/|70704||||||
46.251.251.15|/MonetaryUnit Core:2.2.0/|70704||||||
46.251.251.34|/MonetaryUnit Core:2.2.0/|70704||||||
46.83.235.67|/MonetaryUnit Core:2.2.0/|70704||||||
47.156.76.53|/MonetaryUnit Core:2.2.0/|70704||||||
5.69.83.171|/MonetaryUnit Core:2.2.0/|70704||||||
50.220.121.211|/MonetaryUnit Core:2.2.0/|70704||||||
62.171.175.204|/MonetaryUnit Core:2.2.0/|70704||||||
63.142.252.215|/MonetaryUnit Core:2.2.0/|70704||||||
63.142.253.101|/MonetaryUnit Core:2.2.0/|70704||||||
67.199.179.49|/MonetaryUnit Core:2.2.0/|70704||||||
72.228.179.146|/MonetaryUnit Core:2.2.0/|70704||||||
72.66.45.15|/MonetaryUnit Core:2.2.0/|70704||||||
73.84.111.198|/MonetaryUnit Core:2.2.0/|70704||||||
74.96.192.6|/MonetaryUnit Core:2.2.0/|70704||||||
76.243.195.173|/MonetaryUnit Core:2.2.0/|70704||||||
78.26.178.235|/MonetaryUnit Core:2.2.0/|70704||||||
82.10.89.6|/MonetaryUnit Core:2.2.0/|70704||||||
83.215.142.159|/MonetaryUnit Core:2.2.0/|70704||||||
88.104.199.91|/MonetaryUnit Core:2.2.0/|70704||||||
88.212.55.252|/MonetaryUnit Core:2.2.0/|70704|42841|88.212.48.0/20|SK|ripencc|2005-12-08|ANTIK, SK
89.154.80.156|/MonetaryUnit Core:2.2.0/|70704||||||
91.150.165.38|/MonetaryUnit Core:2.2.0/|70704||||||
91.218.58.19|/MonetaryUnit Core:2.2.0/|70704||||||
92.3.45.147|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.44.13|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.44.14|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.44.16|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.45.13|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.45.145|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.45.15|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.45.220|/MonetaryUnit Core:2.2.0/|70704||||||
92.60.45.250|/MonetaryUnit Core:2.2.0/|70704||||||
94.130.70.205|/MonetaryUnit Core:2.2.0/|70704||||||
94.66.59.169|/MonetaryUnit Core:2.2.0/|70704||||||
95.179.177.121|/MonetaryUnit Core:2.2.0/|70704||||||
95.217.85.169|/MonetaryUnit Core:2.2.0/|70704||||||
