# https://chainz.cryptoid.info/ and whois results
# Noir
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.214.8.13|/Noir Core:2.2.0/|90049||||||
108.244.235.225|/Noir Core:2.2.0/|90049||||||
109.201.133.100|/Noir Core:2.2.0/|90049||||||
109.252.138.39|/Noir Core:2.2.0/|90049||||||
109.74.188.170|/Noir Core:2.2.0/|90049||||||
116.203.133.204|/Noir Core:2.2.0/|90049||||||
135.181.164.190|/Noir Core:2.2.0/|90049||||||
135.181.183.38|/Noir Core:2.2.0/|90049||||||
135.181.42.116|/Noir Core:2.2.0/|90049||||||
158.101.71.97|/Noir Core:2.2.0/|90049||||||
167.114.208.234|/Noir Core:2.2.0/|90049||||||
167.86.120.29|/Noir Core:2.2.0/|90049||||||
178.238.236.8|/Noir Core:2.2.0/|90049||||||
178.63.23.210|/Noir Core:2.2.0/|90049||||||
185.100.87.202|/Noir Core:2.2.0/|90049||||||
185.107.47.215|/Noir Core:2.2.0/|90049||||||
185.220.100.240|/Noir Core:2.2.0/|90049||||||
185.220.100.243|/Noir Core:2.2.0/|90049||||||
185.220.100.253|/Noir Core:2.2.0/|90049||||||
185.220.100.254|/Noir Core:2.2.0/|90049||||||
185.220.101.34|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.43|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.45|/Noir Core:2.2.0/|90049||||||
185.220.101.50|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.52|/Noir Core:2.2.0/|90049||||||
185.220.101.55|/Noir Core:2.2.0/|90049||||||
185.220.101.56|/Noir Core:2.2.0/|90049||||||
185.220.101.57|/Noir Core:2.2.0/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
185.220.101.58|/Noir Core:2.2.0/|90049||||||
185.220.101.62|/Noir Core:2.2.0/|90049||||||
185.253.160.5|/Noir Core:2.2.0/|90049|9009|185.253.160.0/24|RO|ripencc|2018-04-04|M247, GB
185.253.160.9|/Noir Core:2.2.0/|90049|9009|185.253.160.0/24|RO|ripencc|2018-04-04|M247, GB
185.56.80.65|/Noir Core:2.2.0/|90049|43350|185.56.80.0/24|SC|ripencc|2014-05-01|NFORCE, NL
185.83.214.69|/Noir Core:2.2.0/|90049||||||
190.38.171.185|/Noir Core:2.2.0/|90049|8048|190.38.160.0/19|VE|lacnic|2006-06-05|CANTV Servicios, Venezuela, VE
193.116.115.176|/Noir Core:2.2.0/|90049|7545|193.116.112.0/21|AU|apnic|1994-02-10|TPG-INTERNET-AP TPG Telecom Limited, AU
194.163.184.200|/Noir Core:2.2.0/|90049|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
195.201.84.173|/Noir Core:2.2.0.0/|90049|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
198.54.128.94|/Noir Core:2.2.0/|90049|11878|198.54.128.0/24|US|arin|2013-04-08|TZULO, US
207.246.64.69|/Noir Core:2.2.0/|90049|20473|207.246.64.0/20|US|arin|2017-10-13|AS-CHOOPA, US
209.127.17.234|/Noir Core:2.2.0/|90049||||||
