# https://chainz.cryptoid.info/ and whois results
# NewYorkCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.237.11.204|/NewYorkCoin:1.3.1.20/|70012||||||
109.195.183.30|/NewYorkCoin:1.3.1.20/|70012||||||
116.202.47.198|/NewYorkCoin:1.3.1.20/|70012||||||
134.90.149.139|/NewYorkCoin:1.3.1.20/|70012||||||
135.181.32.44|/NewYorkCoin:1.3.1.20/|70012||||||
136.144.141.84|/NewYorkCoin:1.3.1.20/|70012||||||
136.56.64.60|/NewYorkCoin:1.3.1.17/|70005|16591|136.56.64.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
144.76.172.181|/NewYorkCoin:1.3.1.20/|70012||||||
144.91.108.205|/NewYorkCoin:1.3.1.20/|70012||||||
149.56.155.28|/NewYorkCoin:1.3.1.20/|70012||||||
157.161.128.52|/NewYorkCoin:1.3.1.20/|70012||||||
157.90.223.151|/NewYorkCoin:1.3.1.20/|70012|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
162.55.92.62|/NewYorkCoin:1.3.1.20/|70012||||||
164.92.248.247|/NewYorkCoin:1.14.3/|70012|14061|164.92.240.0/20|US|arin|2020-05-04|DIGITALOCEAN-ASN, US
167.86.85.58|/NewYorkCoin:1.3.1.20/|70012||||||
172.72.103.68|/NewYorkCoin:1.3.1.18/|70005||||||
173.16.113.136|/NewYorkCoin:1.3.1.20/|70012||||||
173.212.221.11|/NewYorkCoin:1.3.1.20/|70012||||||
178.118.27.206|/NewYorkCoin:1.3.1.20/|70012||||||
186.42.9.84|/NewYorkCoin:1.3.1.20/|70012||||||
193.70.35.157|/NewYorkCoin:1.3.1.20/|70012||||||
207.172.172.226|/NewYorkCoin:0.19.0.1/|70012|6079|207.172.0.0/16|US|arin|1996-08-05|RCN-AS, US
209.182.239.169|/NewYorkCoin:1.3.1.20/|70012||||||
216.137.116.136|/NewYorkCoin:1.3.1.20/|70012||||||
37.19.213.205|/NewYorkCoin:0.19.0.1/|70012|212238|37.19.212.0/23|GB|ripencc|2011-12-21|CDNEXT, GB
45.63.28.86|/NewYorkCoin:1.14.3/|70012||||||
46.151.159.53|/NewYorkCoin:1.3.1.17/|70005||||||
46.23.35.70|/NewYorkCoin:1.3.1.20/|70012||||||
50.220.121.211|/NewYorkCoin:1.3.1.20/|70012||||||
54.149.241.72|/NewYorkCoin:1.3.1.20/|70012||||||
68.172.32.117|/NewYorkCoin:1.3.1.20/|70012||||||
71.142.98.206|/NewYorkCoin:1.3.1.20/|70012||||||
77.239.57.159|/NewYorkCoin:1.3.1.17/|70005|15600|77.239.32.0/19|CH|ripencc|2007-03-01|QUICKLINE Quickline AG, CH
78.21.113.136|/NewYorkCoin:1.3.1.20/|70012||||||
80.82.76.132|/NewYorkCoin:1.3.1.20/|70012||||||
81.165.183.51|/NewYorkCoin:1.3.1.20/|70012||||||
82.158.81.86|/NewYorkCoin:1.3.1.20/|70012||||||
83.148.34.172|/NewYorkCoin:1.3.1.20/|70012||||||
83.40.205.39|/NewYorkCoin:1.3.1.20/|70012||||||
84.182.201.35|/NewYorkCoin:1.3.1.20/|70012||||||
84.182.202.179|/NewYorkCoin:1.3.1.20/|70012||||||
85.15.179.171|/NewYorkCoin:1.3.1.20/|70012||||||
85.19.25.38|/NewYorkCoin:1.3.1.20/|70012||||||
89.233.108.211|/NewYorkCoin:1.3.1.20/|70012||||||
91.206.16.214|/NewYorkCoin:1.3.1.20/|70012||||||
94.237.85.140|/NewYorkCoin:1.3.1.20/|70012|202053|94.237.80.0/20|FI|ripencc|2008-10-22|UPCLOUD, FI
94.25.170.216|/NewYorkCoin:1.3.1.20/|70012|25159|94.25.168.0/21|RU|ripencc|2008-06-10|SONICDUO-AS, RU
98.171.9.61|/NewYorkCoin:1.3.1.20/|70012|22773|98.171.0.0/17|US|arin|2007-07-20|ASN-CXA-ALL-CCI-22773-RDC, US
