# https://chainz.cryptoid.info/ and whois results
# PeepCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.173.115.16|/PXN:1.0.5.2/|60016|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.58.208.52|/PXN:1.0.5.2/|60016|210278|101.56.0.0/13|IT|ripencc|2010-12-09|SKYIT-BB, IT
103.137.14.158|/PXN:1.0.5.2/|60016|137409|103.137.14.0/24|AU|apnic|2019-03-19|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
122.155.42.211|/PXN:1.0.5.2/|60016|9931|122.155.42.0/23|TH|apnic|2007-01-08|CAT-AP The Communication Authoity of Thailand, CAT, TH
133.32.176.205|/PXN:1.0.5.2/|60016|2519|133.32.176.0/20|JP|apnic|1997-03-01|VECTANT ARTERIA Networks Corporation, JP
149.202.77.209|/PXN:1.0.5.2/|60016|16276|149.202.0.0/16|FR|ripencc|1999-04-26|OVH, FR
151.29.229.23|/PXN:1.0.5.2/|60016|1267|151.29.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
156.146.55.59|/PXN:1.0.5.2/|60016|212238|156.146.55.0/24|GB|ripencc|1990-02-05|CDNEXT, GB
176.63.27.37|/PXN:1.0.5.2/|60016|21334|176.63.0.0/17|HU|ripencc|2011-06-08|ASN-VODAFONE-, HU
185.15.210.115|/PXN:1.0.5.2/|60016|52000|185.15.210.0/24|NL|ripencc|2013-01-15|MIRHOSTING, NL
189.143.78.65|/PXN:1.0.5.2/|60016|8151|189.143.72.0/21|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
202.153.213.22|/PXN:1.0.5.2/|60016|4764|202.153.212.0/22|AU|apnic|2005-08-24|WIDEBAND-AS-AP Aussie Broadband, AU
217.63.32.185|/PXN:1.0.5.2/|60016|33915|217.63.32.0/19|NL|ripencc|2000-11-23|TNF-AS, NL
