# https://chainz.cryptoid.info/ and whois results
# Photon
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.61.214.31|/Photon:0.8.9.9/|70001|20473|108.61.214.0/24|US|arin|2010-12-08|AS-CHOOPA, US
108.61.23.84|/Photon:0.8.9.9/|70001||||||
111.167.253.223|/Photon:0.8.9.7/|70001|4837|111.160.0.0/13|CN|apnic|2009-05-14|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
144.202.97.215|/Photon:0.8.9.9/|70001||||||
149.28.206.155|/Photon:0.8.9.9/|70001||||||
178.18.254.12|/Photon:0.8.9.8/|70001||||||
178.63.11.230|/Photon:0.8.9.7/|70001|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
208.85.22.170|/Photon:0.8.9.8/|70001||||||
216.238.102.146|/Photon:0.8.9.8/|70001|20473|216.238.96.0/19|US|arin|2021-03-04|AS-CHOOPA, US
24.158.249.19|/Photon:0.8.9.7/|70001|20115|24.158.240.0/20|US|arin|2001-03-06|CHARTER-20115, US
45.63.121.105|/Photon:0.8.9.8/|70001|20473|45.63.120.0/22|US|arin|2015-01-02|AS-CHOOPA, US
45.63.71.183|/Photon:0.8.9.8/|70001||||||
45.63.99.146|/Photon:0.8.9.9/|70001||||||
45.77.51.167|/Photon:0.8.9.8/|70001|20473|45.77.48.0/22|US|arin|2015-04-24|AS-CHOOPA, US
46.123.232.116|/Photon:0.8.9.7/|70001||||||
46.123.236.137|/Photon:0.8.9.7/|70001||||||
66.42.80.103|/Photon:0.8.9.9/|70001|20473|66.42.80.0/20|US|arin|2018-05-07|AS-CHOOPA, US
67.140.148.168|/Photon:0.8.9.7/|70001|7029|67.140.0.0/15|US|arin|2003-11-18|WINDSTREAM, US
67.149.206.13|/Photon:0.8.9.9/|70001|12083|67.149.206.0/23|US|arin|2004-02-19|WOW-INTERNET, US
78.141.222.83|/Photon:0.8.9.8/|70001||||||
82.45.224.187|/Photon:0.8.9.9/|70001||||||
94.23.209.98|/Photon:0.8.9.9/|70001||||||
95.179.186.170|/Photon:0.8.9.9/|70001||||||
