# https://chainz.cryptoid.info/ and whois results
# Piggycoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
173.237.207.43|/PiggyStakes:1.2.3/|60300||||||
24.17.28.219|/PiggyStakes:1.2.3/|60300||||||
46.101.235.143|/PiggyStakes:1.2.3/|60300||||||
79.138.52.171|/PiggyStakes:1.2.3/|60300|45011|79.138.0.0/17|SE|ripencc|2007-10-19|SE-A3 www.a3.se, SE
82.15.233.226|/PiggyStakes:1.2.3/|60300||||||
86.187.169.243|/PiggyStakes:1.2.3/|60300||||||
87.123.244.120|/PiggyStakes:1.2.3/|60300||||||
94.199.25.18|/PiggyStakes:1.2.3/|60300||||||
95.217.78.170|/PiggyStakes:1.2.3/|60300||||||
98.97.155.138|/PiggyStakes:1.2.3/|60300||||||
99.155.224.126|/PiggyStakes:1.2.3/|60300|7018|99.152.0.0/14|US|arin|2007-08-29|ATT-INTERNET4, US
