# https://chainz.cryptoid.info/ and whois results
# PIVX
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.212.227.172|/PIVX Core:5.4.0/|70924||||||
103.212.227.173|/PIVX Core:5.4.0/|70924||||||
103.212.227.174|/PIVX Core:5.4.0/|70924||||||
104.128.239.55|/PIVX Core:5.4.0/|70924||||||
104.15.129.204|/PIVX Core:5.3.3/|70924||||||
104.244.76.13|/PIVX Core:5.4.0/|70924||||||
108.166.209.83|/PIVX Core:5.4.0/|70924||||||
108.168.110.132|/PIVX Core:5.4.0/|70924||||||
108.210.197.33|/PIVX Core:5.3.2/|70923||||||
109.252.197.114|/PIVX Core:5.3.2.1/|70923||||||
130.185.119.91|/PIVX Core:5.3.2/|70923||||||
136.55.81.17|/PIVX Core:5.4.0/|70924||||||
137.220.53.121|/PIVX Core:5.4.0/|70924||||||
141.98.252.251|/PIVX Core:5.4.99/|70925||||||
142.44.212.178|/PIVX Core:5.4.0/|70924||||||
144.91.110.191|/PIVX Core:5.4.0/|70924||||||
144.91.114.178|/PIVX Core:5.4.0/|70924||||||
144.91.115.237|/PIVX Core:5.4.0/|70924||||||
144.91.116.146|/PIVX Core:5.3.2/|70923||||||
151.26.104.188|/PIVX Core:5.4.0/|70924||||||
157.90.106.242|/PIVX Core:5.4.0/|70924||||||
158.69.210.49|/PIVX Core:5.4.0/|70924||||||
161.97.140.90|/PIVX Core:5.4.0/|70924||||||
161.97.146.42|/PIVX Core:5.4.0/|70924||||||
161.97.65.227|/PIVX Core:5.3.3/|70924||||||
161.97.84.242|/PIVX Core:5.4.0/|70924||||||
162.234.85.137|/PIVX Core:5.3.2.1/|70923||||||
162.234.85.139|/PIVX Core:5.3.2.1/|70923||||||
162.55.232.81|/PIVX Core:5.4.0/|70924||||||
164.68.119.129|/PIVX Core:5.3.3/|70924||||||
165.22.117.154|/PIVX Core:5.4.0/|70924||||||
167.86.98.76|/PIVX Core:5.3.3/|70924||||||
172.84.167.205|/PIVX Core:5.3.2/|70923||||||
173.212.195.229|/PIVX Core:5.4.0/|70924||||||
173.249.27.214|/PIVX Core:5.4.0/|70924||||||
173.79.59.44|/PIVX Core:5.3.2/|70923||||||
173.82.121.121|/PIVX Core:5.4.0/|70924||||||
173.82.193.70|/PIVX Core:5.4.0/|70924||||||
173.82.254.32|/PIVX Core:5.4.0/|70924||||||
173.82.82.215|/PIVX Core:5.4.0/|70924||||||
176.9.4.130|/PIVX Core:5.4.0/|70924||||||
177.126.1.3|/PIVX Core:5.4.0/|70924||||||
178.63.41.26|/PIVX Core:5.4.0/|70924||||||
18.188.206.126|/PIVX Core:5.4.0/|70924||||||
185.141.61.56|/PIVX Core:5.4.0/|70924||||||
