# https://chainz.cryptoid.info/ and whois results
# PotCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.137.10.72|/Potcoin:0.8.7.2/|70420||||||
104.42.78.103|/Potcoin:0.8.7.2/|70420||||||
107.115.232.209|/Potcoin:0.8.7.2/|70420||||||
107.2.203.113|/Potcoin:0.8.7.2/|70420||||||
126.224.112.173|/Potcoin:0.8.7.2/|70420||||||
135.23.42.235|/Potcoin:0.8.7.2/|70420||||||
136.32.139.25|/Potcoin:0.8.7.2/|70420||||||
139.47.5.174|/Potcoin:0.8.7.2/|70420||||||
139.47.5.184|/Potcoin:0.8.7.2/|70420||||||
140.186.218.230|/Potcoin:0.8.7.2/|70420||||||
172.223.211.52|/Potcoin:0.8.7.2/|70420||||||
173.91.7.192|/Potcoin:0.8.7.2/|70420||||||
174.107.129.43|/Potcoin:0.8.7.2/|70420||||||
174.72.185.103|/Potcoin:0.8.7.2/|70420||||||
176.127.115.145|/Potcoin:0.8.7.2/|70420||||||
176.148.115.92|/Potcoin:0.8.7.2/|70420||||||
190.96.1.19|/Potcoin:0.8.7.2/|70420|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
192.226.179.237|/Potcoin:0.8.7.2/|70420||||||
199.126.170.181|/Potcoin:0.8.7.2/|70420||||||
204.102.230.65|/Potcoin:0.8.7.2/|70420||||||
208.104.58.176|/Potcoin:0.8.7.2/|70420||||||
208.66.68.150|/Potcoin:0.8.7.2/|70420||||||
217.237.95.106|/Potcoin:0.8.7.2/|70420|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
24.115.87.12|/Potcoin:0.8.7.2/|70420|3737|24.115.0.0/16|US|arin|2004-10-28|AS-PTD, US
24.141.130.49|/Potcoin:0.8.7.2/|70420|7992|24.141.0.0/16|CA|arin|1999-05-03|COGECOWAVE, CA
24.220.177.221|/Potcoin:0.8.7.2/|70420|11232|24.220.128.0/18|US|arin|1998-12-15|MIDCO-NET, US
3.90.61.212|/Potcoin:0.8.7.2/|70420|14618|3.80.0.0/12|US|arin|2017-12-20|AMAZON-AES, US
3.98.127.52|/Potcoin:0.8.7.2/|70420|16509|3.98.0.0/15|US|arin|2017-12-20|AMAZON-02, US
31.10.154.39|/Potcoin:0.8.7.2/|70420||||||
