# https://chainz.cryptoid.info/ and whois results
# PeerCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.14.224.164|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
100.4.56.113|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
101.100.128.147|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
101.113.227.32|/Satoshi:0.20.1/Peercoin:0.10.0/|70015||||||
101.190.205.199|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
102.129.145.147|/Satoshi:0.20.2/Peercoin:0.10.4/|70015||||||
103.243.173.214|/Satoshi:0.20.2/Peercoin:0.10.3/|70015||||||
104.182.205.118|/Satoshi:0.20.1/Peercoin:0.10.1/|70015||||||
104.203.9.208|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
104.207.134.60|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
104.244.76.44|/Satoshi:0.20.1/Peercoin:0.10.0/|70015||||||
108.168.8.69|/Satoshi:0.20.2/Peercoin:0.10.4/|70015||||||
108.4.200.151|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
108.61.15.250|/Satoshi:0.20.1/Peercoin:0.10.0/|70015||||||
109.252.66.11|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
109.60.63.140|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
109.80.194.146|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
110.141.212.32|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
110.143.130.252|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
111.85.69.86|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
112.133.37.213|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
113.218.171.101|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
113.246.186.221|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
114.125.6.238|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
115.84.237.105|/Satoshi:0.20.2/Peercoin:0.10.3/|70015||||||
115.84.237.111|/Satoshi:0.20.2/Peercoin:0.10.3/|70015||||||
116.7.245.182|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
119.3.138.218|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
119.45.242.241|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
120.84.11.31|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
121.98.52.216|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
122.51.249.99|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
125.168.40.74|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
128.199.40.35|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
128.227.231.94|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
130.180.102.118|/Satoshi:0.20.1/Peercoin:0.10.0/|70015||||||
133.32.232.141|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
135.129.242.0|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
135.181.164.189|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
135.181.216.218|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
135.181.98.157|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
138.197.141.227|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
139.130.21.78|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
139.130.234.82|/Satoshi:0.20.2/Peercoin:0.11.1/|70016||||||
141.136.169.211|/Satoshi:0.20.2/Peercoin:0.11.0/|70016||||||
141.138.43.225|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
143.198.121.253|Satoshi:0.20.2/Peercoin:0.11.0|70016||||||
143.198.164.157|Satoshi:0.20.2/Peercoin:0.11.0|70016||||||
147.135.97.55|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
150.140.159.218|/Satoshi:0.20.1/Peercoin:0.10.0/|70015||||||
151.19.84.105|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
151.26.164.65|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
151.26.193.96|/Satoshi:0.16.3/Peercoin:0.9.0/|70015||||||
