# https://chainz.cryptoid.info/ and whois results
# Riecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.243.173.214|/Dev:0.20.0/|10070001||||||
104.236.168.125|/Riemann:0.20.0/|10070001|14061|104.236.128.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
138.197.159.202|/Riemann:0.20.0/|10070001|14061|138.197.144.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.103.137|/Riemann:0.20.0/|10070001|14061|139.59.96.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
146.70.50.154|/Riemann:22.3.0/|70016|9009|146.70.50.0/24|RO|ripencc|1991-01-23|M247, GB
147.135.70.51|/Riemann:0.20.0/|10070001|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
147.135.86.84|/Riemann:0.21.0/|10070001|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
158.69.25.32|/Riemann:0.21.0/|10070001||||||
163.172.62.105|/Riemann:22.3.0/|70016|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
174.118.153.85|/Riemann:22.3.0/|70016|812|174.118.128.0/19|CA|arin|2009-03-04|ROGERS-COMMUNICATIONS, CA
178.244.193.55|/Riemann:22.3.0/|70016|16135|178.244.192.0/20|TR|ripencc|2010-03-19|TURKCELL-AS Turkcell A.S., TR
18.233.16.46|/Riemann:0.21.0/|10070001|14618|18.232.0.0/14|US|arin|2019-10-07|AMAZON-AES, US
185.220.100.243|/Riemann:0.21.0/|10070001||||||
185.246.208.153|/Riemann:0.21.0/|10070001|60068|185.246.208.0/24|GB|ripencc|2018-02-16|CDN77 ^_^, GB
192.210.173.123|/Riemann:0.21.0/|10070001|36352|192.210.173.0/24|US|arin|2012-12-11|AS-COLOCROSSING, US
195.15.219.10|/Riemann:22.3.0/|70016|29222|195.15.192.0/18|CH|ripencc|1996-10-18|INFOMANIAK-AS, CH
195.201.104.49|/Riemann:0.21.0/|10070001||||||
198.199.70.169|/Riemann:0.21.0/|10070001|14061|198.199.64.0/20|US|arin|2013-03-27|DIGITALOCEAN-ASN, US
198.251.84.221|/Satoshi:0.10.2/|10070001|53667|198.251.84.0/24|US|arin|2013-02-13|PONYNET, US
2.86.174.254|/Riemann:0.21.0/|10070001|6799|2.86.0.0/16|GR|ripencc|2010-05-12|OTENET-GR Athens - Greece, GR
212.166.56.186|/Riemann:22.3.0/|70016|9208|212.166.0.0/18|BE|ripencc|1999-02-23|WIN, BE
216.15.21.83|/Riemann:0.21.0/|10070001|6079|216.15.0.0/17|US|arin|1998-07-02|RCN-AS, US
24.135.207.179|/Riemann:0.21.0/|10070001|31042|24.135.128.0/17|RS|ripencc|2012-05-03|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
31.164.1.54|/Riemann:22.3.0/|70016|6730|31.164.0.0/15|CH|ripencc|2011-02-23|SUNRISE, CH
34.220.191.18|/Riemann:0.21.0/|10070001|16509|34.208.0.0/12|US|arin|2016-09-12|AMAZON-02, US
37.139.15.251|/Riemann:0.20.0/|10070001|14061|37.139.0.0/19|US|ripencc|2012-02-24|DIGITALOCEAN-ASN, US
45.77.53.225|/Riemann:0.21.0/|10070001|20473|45.77.52.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.94.107.64|/Riemann:0.21.0/|10070001|201211|45.94.104.0/22|RU|ripencc|2019-07-05|DRUGOYTEL-AS, RU
5.9.193.21|/Riemann:0.21.0/|10070001|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.178.184.41|/Riemann:0.21.0/|10070001|16276|51.178.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.195.232.226|/Riemann:0.21.0/|10070001|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.81.102.216|/Riemann:0.21.0/|10070001|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR
51.81.102.219|/Riemann:0.21.0/|10070001|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR
51.81.102.220|/Riemann:0.21.0/|10070001|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR
65.185.77.145|/Riemann:22.3.0/|70016||||||
68.37.210.156|/Riemann:0.21.0/|10070001|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
70.174.95.10|/Riemann:0.21.0/|10070001|22773|70.174.0.0/17|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
79.147.209.121|/Riemann:0.21.0/|10070001|3352|79.147.0.0/16|ES|ripencc|2007-06-07|TELEFONICA_DE_ESPANA, ES
80.209.237.20|/Dev:0.20.0/|10070001|212531|80.209.224.0/20|LT|ripencc|2001-12-12|INTERNETO-VIZIJA, LT
83.134.123.177|/Riemann:22.3.0/|70016|5432|83.134.0.0/16|BE|ripencc|2004-01-22|PROXIMUS-ISP-AS, BE
84.121.162.126|/Riemann:0.20.0/|10070001|6739|84.121.0.0/16|ES|ripencc|2004-04-15|ONO-AS Cableuropa - ONO, ES
85.19.25.38|/Riemann:0.21.0/|10070001|25400|85.19.0.0/16|NO|ripencc|2005-03-16|TELIA-NORWAY-AS Telia Norway Core Networks, NO
86.121.140.20|/Riemann:0.21.0/|10070001|8708|86.120.0.0/13|RO|ripencc|2005-03-16|RCS-RDS 73-75 Dr. Staicovici, RO
88.91.78.185|/Riemann:22.3.0/|70016|2119|88.88.0.0/13|NO|ripencc|2005-11-25|TELENOR-NEXTEL Telenor Norge AS, NO
90.180.59.182|/Riemann:0.21.0/|10070001|5610|90.180.0.0/14|CZ|ripencc|2006-09-17|O2-CZECH-REPUBLIC, CZ
