# https://chainz.cryptoid.info/ and whois results
# Sparks
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.238.162.100|/Sparks Core:0.12.4.3/|70213|20473|104.238.162.0/23|US|arin|2014-11-13|AS-CHOOPA, US
136.24.44.100|/Sparks Core:0.13.3.1/|70213||||||
151.80.43.136|???|0||||||
161.97.137.60|/Sparks Core:0.13.3.1/|70213||||||
161.97.158.3|/Sparks Core:0.13.3.1/|70213||||||
161.97.158.5|/Sparks Core:0.13.3.1/|70213||||||
161.97.158.9|/Sparks Core:0.13.3.1/|70213||||||
164.132.74.143|/Sparks Core:0.13.3.1/|70213|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
178.254.12.231|/Sparks Core:0.12.4.2/|70213||||||
178.32.99.144|/Sparks Core:0.13.3.1/|70213|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
188.165.41.158|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.55.99|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
206.190.157.238|/Sparks Core:0.13.3.1/|70213|36351|206.190.157.0/24|US|arin|1995-12-21|SOFTLAYER, US
207.180.211.111|/Sparks Core:0.12.4.3/|70213|51167|207.180.210.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.227.152|/Sparks Core:0.13.3.1/|70213|51167|207.180.226.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.227.159|/Sparks Core:0.13.3.1/|70213|51167|207.180.226.0/23|DE|ripencc|1996-08-21|CONTABO, DE
211.75.74.223|/Sparks Core:0.12.4.3/|70213|3462|211.75.0.0/16|TW|apnic|1999-11-23|HINET Data Communication Business Group, TW
212.237.141.182|/Sparks Core:0.12.4.2/|70213|203953|212.237.128.0/20|DK|ripencc|1998-09-25|HIPER, DK
212.237.58.31|/Sparks Core:0.12.4.3/|70213|31034|212.237.0.0/18|IT|ripencc|1998-09-25|ARUBA-ASN, IT
5.135.244.106|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.244.42|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.244.45|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.244.50|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.39.3.117|/Sparks Core:0.13.3.1/|70213|16276|5.39.0.0/17|FR|ripencc|2012-05-15|OVH, FR
