# https://chainz.cryptoid.info/ and whois results
# SuperCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
167.86.122.135|/SuperCoin:4.0.1/|60013|51167|167.86.122.0/23|DE|ripencc|1993-05-14|CONTABO, DE
46.101.235.143|/SuperCoin:4.0.1/|60013||||||
62.235.15.145|/SuperCoin:4.0.1/|60013|5432|62.235.0.0/16|BE|ripencc|2001-01-02|PROXIMUS-ISP-AS, BE
80.141.46.235|/SuperCoin:4.0.1/|60013||||||
80.208.66.199|/SuperCoin:4.0.1/|60013||||||
83.25.16.125|/SuperCoin:4.0.1/|60013||||||
83.25.43.172|/SuperCoin:4.0.1/|60013||||||
85.19.25.38|/SuperCoin:4.0.1/|60013||||||
93.228.67.66|/SuperCoin:4.0.1/|60013||||||
93.228.78.139|/SuperCoin:4.0.1/|60013||||||
95.85.156.245|/SuperCoin:4.0.1/|60013||||||
