# https://chainz.cryptoid.info/ and whois results
# TajCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
137.119.131.10|/Taj:1.0.0/|60000|17253|137.119.128.0/21|US|arin|1989-11-21|TEC-OF-JACKSON-INC, US
167.86.116.187|/Taj:1.0.0/|60000||||||
178.63.11.230|/Taj:1.0.0/|60000||||||
185.117.74.45|/Taj:1.0.0/|60000|60117|185.117.74.0/24|AE|ripencc|2015-09-14|HS, AE
193.164.140.162|/Taj:1.0.0/|60000||||||
193.92.236.215|/Taj:1.0.0/|60000|1241|193.92.128.0/17|GR|ripencc|1993-09-01|FORTHNET-GR Forthnet, EU
198.52.110.225|/Taj:1.0.0/|60000||||||
46.101.235.143|/Taj:1.0.0/|60000||||||
46.123.198.65|/Taj:1.0.0/|60000||||||
5.254.242.70|/Taj:1.0.0/|60000||||||
66.70.182.1|/Taj:1.0.0/|60000||||||
75.119.143.152|/Taj:1.0.0/|60000||||||
84.162.169.220|/Taj:1.0.0/|60000||||||
87.123.245.157|/Taj:1.0.0/|60000||||||
87.123.245.159|/Taj:1.0.0/|60000||||||
89.142.64.85|/Taj:1.0.0/|60000||||||
93.103.20.240|/Taj:1.0.0/|60000||||||
95.217.145.114|/Taj:1.0.0/|60000||||||
