# https://chainz.cryptoid.info/ and whois results
# Terracoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.144.34.129|/Terracoin Core:0.12.2.5/|70208|55286|104.144.34.0/24|CA|arin|2014-07-22|SERVER-MANIA, CA
104.50.83.156|/Terracoin Core:0.12.2.5/|70208|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
107.152.197.134|/Terracoin Core:0.12.2.5/|70208|55286|107.152.197.0/24|CA|arin|2013-12-13|SERVER-MANIA, CA
107.175.116.188|/Terracoin Core:0.12.2.4/|70208||||||
108.61.166.194|/Terracoin Core:0.12.2.5/|70208|20473|108.61.164.0/22|US|arin|2010-12-08|AS-CHOOPA, US
109.248.12.152|/Terracoin Core:0.12.2.5/|70208|35048|109.248.12.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.129.23|/Terracoin Core:0.12.2.5/|70208|35048|109.248.128.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.143.157|/Terracoin Core:0.12.2.5/|70208|35048|109.248.142.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.143.203|/Terracoin Core:0.12.2.5/|70208|35048|109.248.142.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.204.136|/Terracoin Core:0.12.2.5/|70208|35048|109.248.204.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.204.72|/Terracoin Core:0.12.2.5/|70208|35048|109.248.204.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.48.65|/Terracoin Core:0.12.2.5/|70208|35048|109.248.48.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.54.173|/Terracoin Core:0.12.2.5/|70208|35048|109.248.54.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.55.109|/Terracoin Core:0.12.2.5/|70208|35048|109.248.54.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
130.255.10.254|/Terracoin Core:0.12.2.5/|70208|198185|130.255.8.0/21|RU|ripencc|2011-10-28|LIGALINK-AS, RU
135.181.132.16|/Terracoin Core:0.12.2.5/|70208|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
137.117.216.83|/Terracoin Core:0.12.2.4/|70208||||||
137.74.94.192|/Terracoin Core:0.12.2.5/|70208|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
138.128.69.37|/Terracoin Core:0.12.2.5/|70208|55081|138.128.69.0/24|CA|arin|2014-04-29|24SHELLS, US
144.91.116.146|/Terracoin Core:0.12.2.5/|70208||||||
149.56.110.17|/Terracoin Core:0.12.2.5/|70208|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
149.56.13.242|/Terracoin Core:0.12.2.5/|70208|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
149.56.155.28|/Terracoin Core:0.12.2.5/|70208||||||
155.138.158.196|/Terracoin Core:0.12.2.5/|70208|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
158.51.99.245|/Terracoin Core:0.12.2.4/|70208||||||
158.51.99.246|/Terracoin Core:0.12.2.4/|70208||||||
158.51.99.248|/Terracoin Core:0.12.2.4/|70208||||||
158.51.99.253|/Terracoin Core:0.12.2.4/|70208||||||
158.69.25.32|/Terracoin Core:0.12.2.5/|70208||||||
167.86.111.204|/Terracoin Core:0.12.2.5/|70208|51167|167.86.110.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.230.133.77|/Terracoin Core:0.12.2.5/|70208|63949|173.230.128.0/20|US|arin|2010-03-15|LINODE-AP Linode, LLC, US
174.92.134.201|/Terracoin Core:0.12.2.5/|70208|577|174.92.0.0/16|CA|arin|2009-02-27|BACOM, CA
176.58.104.46|/Terracoin Core:0.12.2.5/|70208|63949|176.58.96.0/19|US|ripencc|2011-06-06|LINODE-AP Linode, LLC, US
185.181.244.241|/Terracoin Core:0.12.2.5/|70208|35048|185.181.244.0/23|RU|ripencc|2016-12-13|BITERIKA-AS, RU
185.181.244.73|/Terracoin Core:0.12.2.5/|70208|35048|185.181.244.0/23|RU|ripencc|2016-12-13|BITERIKA-AS, RU
