# https://chainz.cryptoid.info/ and whois results
# Trollcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.238.188.145|/Trolloshi:2.1.0/|60030|20473|104.238.188.0/22|US|arin|2014-11-13|AS-CHOOPA, US
106.75.31.185|/Trolloshi:2.1.0/|60030|4808|106.75.0.0/19|CN|apnic|2011-03-23|CHINA169-BJ China Unicom Beijing Province Network, CN
107.131.1.241|/Trolloshi:2.1.0/|60030|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.191.39.242|/Trolloshi:2.1.0/|60030|20473|107.191.32.0/21|US|arin|2014-04-25|AS-CHOOPA, US
108.218.157.3|/Trolloshi:2.1.0/|60030|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.61.117.67|/Trolloshi:2.1.0/|60030|20473|108.61.117.0/24|US|arin|2010-12-08|AS-CHOOPA, US
139.47.121.13|/Trolloshi:2.1.0/|60030|15704|139.47.120.0/21|ES|ripencc|1990-06-19|AS15704, ES
143.198.234.231|/Trolloshi:2.1.0/|60030|14061|143.198.224.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
147.135.97.55|/Trolloshi:2.1.0/|60030||||||
148.251.32.102|/Trolloshi:2.1.0/|60030|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
149.28.19.72|/Trolloshi:2.1.0/|60030||||||
155.138.151.242|/Trolloshi:2.1.0/|60030|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
172.98.89.231|/Trolloshi:2.1.0/|60030|46562|172.98.89.0/24|US|arin|2015-06-15|PERFORMIVE, US
178.18.252.200|/Trolloshi:2.1.0/|60030|51167|178.18.240.0/20|DE|ripencc|2010-04-27|CONTABO, DE
185.117.74.45|/Trolloshi:2.1.0/|60030||||||
188.25.97.236|/Trolloshi:2.1.0/|60030||||||
192.64.84.81|/Trolloshi:2.1.0/|60030|19318|192.64.80.0/21|US|arin|2012-12-14|IS-AS-1, US
202.97.251.250|/Trolloshi:2.1.0/|60030|4837|202.97.192.0/18|CN|apnic|1997-08-19|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.97.251.251|/Trolloshi:2.1.0/|60030|4837|202.97.192.0/18|CN|apnic|1997-08-19|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
204.44.82.4|/Trolloshi:2.1.0/|60030||||||
208.103.163.7|/Trolloshi:2.1.0/|60030|396231|208.103.163.0/24|US|arin|2017-05-09|ABILITY-BUSINESS, US
208.180.220.104|/Trolloshi:2.1.0/|60030||||||
24.57.52.160|/Trolloshi:2.1.0/|60030|7992|24.57.0.0/16|CA|arin|2001-11-05|COGECOWAVE, CA
45.236.101.201|/Trolloshi:2.1.0/|60030|266806|45.236.101.0/24|AR|lacnic|2018-05-09|DIAZ MARCELA ALEJANDRAPATAGONIA DIGITAL, AR
46.101.235.143|/Trolloshi:2.1.0/|60030||||||
46.28.107.182|/Trolloshi:2.1.0/|60030||||||
47.186.107.104|/Trolloshi:2.1.0/|60030|5650|47.184.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
5.9.10.66|/Trolloshi:2.1.0/|60030||||||
50.245.85.76|/Trolloshi:2.1.0/|60030||||||
66.55.78.57|/Trolloshi:2.1.0/|60030||||||
68.203.115.85|/Trolloshi:2.1.0/|60030|11427|68.203.0.0/16|US|arin|2003-01-31|TWC-11427-TEXAS, US
69.243.134.204|/Trolloshi:2.1.0/|60030|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
74.15.249.148|/Trolloshi:2.1.0/|60030|577|74.15.0.0/16|CA|arin|2006-01-19|BACOM, CA
84.83.230.137|/Trolloshi:2.1.0/|60030|1136|84.80.0.0/13|NL|ripencc|2004-03-17|KPN KPN National, NL
85.15.179.171|/Trolloshi:2.1.0/|60030||||||
85.23.229.100|/Trolloshi:2.1.0/|60030||||||
85.76.83.47|/Trolloshi:2.1.0/|60030|719|85.76.0.0/14|FI|ripencc|2004-10-08|ELISA-AS Helsinki, Finland, FI
88.99.68.228|/Trolloshi:2.1.0/|60030||||||
91.206.16.214|/Trolloshi:2.1.0/|60030||||||
93.81.210.187|/Trolloshi:2.1.0/|60030|3216|93.81.208.0/20|RU|ripencc|2008-02-05|SOVAM-AS, RU
93.81.218.237|/Trolloshi:2.1.0/|60030|3216|93.81.208.0/20|RU|ripencc|2008-02-05|SOVAM-AS, RU
93.81.220.249|/Trolloshi:2.1.0/|60030|3216|93.81.208.0/20|RU|ripencc|2008-02-05|SOVAM-AS, RU
94.130.132.133|/Trolloshi:2.1.0/|60030||||||
95.168.164.219|/Trolloshi:2.1.0/|60030||||||
95.90.203.67|/Trolloshi:2.1.0/|60030|3209|95.88.0.0/14|DE|ripencc|2008-12-15|VODANET International IP-Backbone of Vodafone, DE
