# https://chainz.cryptoid.info/ and whois results
# TrumpCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.48.73.197|/TrumpCoin Core:5.0.0/|72000||||||
116.202.163.60|/TrumpCoin Core:5.0.0/|72000||||||
128.116.178.67|/TrumpCoin Core:5.0.0/|72000||||||
128.199.198.86|/TrumpCoin Core:5.0.0/|72000||||||
138.201.204.198|/TrumpCoin Core:5.0.0/|72000||||||
144.91.77.82|/TrumpCoin Core:5.0.0/|72000||||||
146.52.13.197|/TrumpCoin Core:5.0.0/|72000||||||
146.52.13.217|/TrumpCoin Core:5.0.0/|72000||||||
148.252.132.50|???|0||||||
148.252.133.16|???|0||||||
150.195.73.196|/TrumpCoin Core:5.0.0/|72000||||||
155.138.235.8|/TrumpCoin Core:5.0.0/|72000||||||
157.230.103.233|/TrumpCoin Core:5.0.0/|72000||||||
161.97.157.181|/TrumpCoin Core:5.0.0/|72000||||||
167.86.111.103|/TrumpCoin Core:5.0.0/|72000||||||
173.28.13.184|/TrumpCoin Core:5.0.0/|72000||||||
173.28.37.128|/TrumpCoin Core:5.0.0/|72000||||||
173.29.64.176|/TrumpCoin Core:5.0.0/|72000||||||
176.118.198.101|/TrumpCoin Core:5.0.0/|72000||||||
185.189.13.80|/TrumpCoin Core:5.0.0/|72000||||||
185.211.5.54|/TrumpCoin Core:5.0.0/|72000||||||
185.239.209.26|/TrumpCoin Core:5.0.0/|72000||||||
185.9.19.122|/TrumpCoin Core:5.0.0/|72000||||||
193.77.158.82|/TrumpCoin Core:5.0.0/|72000||||||
194.163.183.62|/TrumpCoin Core:5.0.0/|72000||||||
199.195.254.71|/TrumpCoin Core:5.0.0/|72000||||||
207.180.249.148|/TrumpCoin Core:5.0.0/|72000||||||
209.141.37.107|/TrumpCoin Core:5.0.0/|72000||||||
209.145.56.182|/TrumpCoin Core:5.0.0/|72000||||||
209.181.233.186|/TrumpCoin Core:5.0.0/|72000||||||
212.114.110.157|/TrumpCoin Core:5.0.0/|72000||||||
217.117.29.109|/TrumpCoin Core:5.0.0/|72000||||||
217.117.29.117|/TrumpCoin Core:5.0.0/|72000||||||
217.117.29.125|/TrumpCoin Core:5.0.0/|72000||||||
23.30.242.114|???|0||||||
3.91.198.221|/TrumpCoin Core:5.0.0/|72000||||||
31.51.175.128|/TrumpCoin Core:5.0.0/|72000||||||
45.13.59.94|/TrumpCoin Core:5.0.0/|72000||||||
45.61.188.68|/TrumpCoin Core:5.0.0/|72000||||||
45.77.48.159|/TrumpCoin Core:5.0.0/|72000||||||
46.151.142.101|/TrumpCoin Core:5.0.0/|72000||||||
46.151.142.118|/TrumpCoin Core:5.0.0/|72000||||||
47.12.131.248|/TrumpCoin Core:5.0.0/|72000||||||
5.189.156.101|/TrumpCoin Core:5.0.0/|72000||||||
50.46.193.182|/TrumpCoin Core:5.0.0/|72000||||||
62.171.128.99|/TrumpCoin Core:5.0.0/|72000||||||
65.21.75.54|/TrumpCoin Core:5.0.0/|72000||||||
65.34.178.99|/TrumpCoin Core:5.0.0/|72000||||||
66.94.109.0|/TrumpCoin Core:5.0.0/|72000||||||
69.64.114.33|/TrumpCoin Core:5.0.0/|72000||||||
70.93.204.19|/TrumpCoin Core:5.0.0/|72000||||||
71.178.237.53|/TrumpCoin Core:5.0.0/|72000||||||
73.111.2.98|/TrumpCoin Core:5.0.0/|72000||||||
73.225.254.9|/TrumpCoin Core:5.0.0/|72000||||||
74.34.96.117|/TrumpCoin Core:5.0.0/|72000||||||
78.62.236.217|/TrumpCoin Core:5.0.0/|72000||||||
83.8.35.242|/TrumpCoin Core:5.0.0/|72000||||||
84.15.189.148|/TrumpCoin Core:5.0.0/|72000||||||
84.255.255.4|/TrumpCoin Core:5.0.0/|72000||||||
88.91.51.193|/TrumpCoin Core:5.0.0/|72000||||||
93.197.98.217|/TrumpCoin Core:5.0.0/|72000||||||
94.198.41.105|/TrumpCoin Core:5.0.0/|72000||||||
95.111.254.134|/TrumpCoin Core:5.0.0/|72000||||||
95.91.255.191|/TrumpCoin Core:5.0.0/|72000||||||
96.46.217.213|/TrumpCoin Core:5.0.0/|72000||||||
96.82.200.49|/TrumpCoin Core:5.0.0/|72000||||||
98.250.142.153|/TrumpCoin Core:5.0.0/|72000||||||
98.42.103.125|/TrumpCoin Core:5.0.0/|72000||||||
