# https://chainz.cryptoid.info/ and whois results
# UFO
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.242.34|/UFO:0.18.0/|70015|14061|104.248.240.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
109.252.120.219|/Satoshi:0.11.0/|70006|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
115.70.21.161|/UFO:0.18.1/|70015||||||
116.202.51.248|/UFO:0.18.1/|70015||||||
13.95.1.50|/UFO:0.15.0/|70015|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
138.68.173.13|/UFO:0.15.0/|70015|14061|138.68.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.142.252|/UFO:0.17.0/|70015|14061|139.59.128.0/19|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
143.178.232.181|/UFO:0.18.1/|70015||||||
148.251.44.16|/UFO:0.18.1/|70015||||||
149.56.155.28|/UFO:0.18.0/|70015||||||
151.21.97.16|/UFO:0.18.0/|70015|1267|151.21.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
159.203.117.8|/UFO:0.18.1/|70015||||||
159.65.148.110|/UFO:0.18.1/|70015||||||
161.97.172.98|/UFO:0.18.1/|70015||||||
167.86.116.187|/UFO:0.18.0/|70015||||||
167.99.175.7|/UFO:0.18.1/|70015||||||
184.146.57.48|/UFO:0.16.3/|70015||||||
185.120.89.242|/UFO:0.18.1/|70015||||||
185.158.182.57|/UFO:0.18.1/|70015||||||
185.220.100.240|/UFO:0.17.0/|70015|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.56.80.65|/UFOmnicore:0.14.0/|70015||||||
188.165.255.50|/UFO:0.15.0/|70015|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.166.227.187|/UFO:0.18.1/|70015||||||
188.166.72.211|/UFO:0.18.1/|70015||||||
188.35.189.50|/UFO:0.17.0/|70015|34123|188.35.0.0/16|RU|ripencc|2009-03-31|NETORN-AS, RU
195.137.147.224|/UFO:0.18.1/|70015||||||
195.201.160.242|/UFO:0.18.0/|70015||||||
195.201.164.117|/UFO:0.18.1/|70015||||||
198.100.149.160|/UFO:0.18.1/|70015||||||
201.198.177.144|/UFO:0.18.1/|70015||||||
201.95.15.88|/UFO:0.18.1/|70015||||||
216.151.2.50|/UFO:0.18.1/|70015||||||
31.146.230.99|/UFO:0.18.1/|70015||||||
37.212.24.55|/UFO:0.18.1/|70015||||||
46.151.159.53|/UFO:0.18.1/|70015||||||
5.189.155.73|/UFO:0.18.1/|70015||||||
50.220.121.211|/UFO:0.18.1/|70015||||||
51.199.249.37|/UFO:0.18.1/|70015||||||
51.38.57.53|/UFO:0.18.1/|70015||||||
51.83.186.57|/UFO:0.18.0/|70015||||||
52.214.47.146|/UFO:0.17.1/|70015|16509|52.208.0.0/13|US|arin|2015-09-02|AMAZON-02, US
65.186.33.100|/UFO:0.18.0/|70015|10796|65.186.0.0/18|US|arin|2004-04-07|TWC-10796-MIDWEST, US
66.94.102.152|/UFO:0.17.0/|70015|40021|66.94.96.0/21|US|arin|2021-07-28|CONTABO, US
67.190.35.145|/UFO:0.18.1/|70015||||||
74.132.252.92|/UFO:0.18.1/|70015||||||
75.119.157.65|/UFO:0.18.1/|70015||||||
76.108.238.25|/UFO:0.18.1/|70015||||||
77.13.109.198|/Satoshi:0.12.0/|70007|6805|77.0.0.0/12|DE|ripencc|2006-11-21|TDDE-ASN1, DE
77.223.98.76|/UFO:0.13.0/|70015|50340|77.223.96.0/22|RU|ripencc|2007-04-23|SELECTEL-MSK, RU
77.40.62.163|/UFO:0.18.1/|70015|12389|77.40.62.0/24|RU|ripencc|2006-11-20|ROSTELECOM-AS, RU
86.19.106.191|/UFO:0.18.1/|70015|5089|86.16.0.0/14|GB|ripencc|2005-03-29|NTL, GB
94.130.132.133|/UFO:0.15.0/|70015||||||
94.180.187.207|/UFO:0.18.1/|70015|41668|94.180.184.0/22|RU|ripencc|2008-09-11|ERTH-KAZAN-AS, RU
95.217.145.114|/UFO:0.18.1/|70015|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.54.44.147|/UFO:0.18.1/|70015|12389|95.54.0.0/18|RU|ripencc|2008-11-13|ROSTELECOM-AS, RU
