# https://chainz.cryptoid.info/ and whois results
# Verium
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.185.20.68|/Verium:1.3.2/|80004||||||
107.181.183.242|/Verium:1.3.2/|80004||||||
107.190.66.40|/Verium:1.3.2/|80004||||||
107.2.235.237|/Verium:1.3.1/|80003||||||
110.137.100.60|/Veritoshi:1.1/|80001||||||
121.221.208.66|/Verium:1.3.2/|80004||||||
144.76.14.164|/Verium:1.3.2/|80004||||||
148.251.48.78|/Verium:1.3.2/|80004||||||
159.242.210.250|/Verium:1.3.2/|80004||||||
161.230.39.95|/Verium:1.3.2/|80004||||||
167.100.70.30|/Veritoshi:1.2/|80001||||||
176.196.243.130|/Vericonomy:2.0.1.5/|90001||||||
178.33.167.100|/Verium:1.3.2/|80004||||||
179.61.240.72|/Vericonomy:2.0.1.5/|90001||||||
184.170.255.237|/Verium:1.3.2/|80004||||||
184.67.81.238|/Veritoshi:1.2/|80001||||||
188.243.113.127|/Verium:1.3.2/|80004||||||
194.45.77.37|/Verium:1.3.2/|80004||||||
199.188.181.130|/Veritoshi:1.2/|80001||||||
199.229.248.218|/Verium:1.3.2/|80004||||||
202.171.78.5|/Veritoshi:1.2/|80001||||||
206.189.209.81|/Veritoshi:1.2/|80001||||||
209.6.75.244|/Verium:1.3.2/|80004||||||
212.56.101.30|/Verium:1.3.2/|80004||||||
213.115.245.220|/Verium:1.3.2/|80004||||||
213.239.193.15|/Verium:1.3.2/|80004||||||
23.251.188.24|/Veritoshi:1.1/|80001||||||
24.117.61.181|/Verium:1.3.2/|80004||||||
24.213.140.10|/Verium:1.3.2/|80004||||||
24.45.45.51|/Verium:1.3.2/|80004||||||
31.49.179.122|/Veritoshi:1.1/|80001||||||
41.193.1.234|/Verium:1.3.2/|80004||||||
45.77.72.49|/Veritoshi:1.0.4/|80001||||||
46.142.44.205|/Verium:1.3.2/|80004||||||
46.142.45.18|/Verium:1.3.2/|80004||||||
51.89.59.21|/Verium:1.3.2/|80004||||||
51.89.59.24|/Verium:1.3.2/|80004||||||
51.89.59.25|/Verium:1.3.2/|80004||||||
67.164.22.151|/Verium:1.3.2/|80004||||||
68.225.191.62|/Verium:1.3.2/|80004||||||
69.145.220.116|/Veritoshi:1.2/|80001||||||
73.153.106.238|/Verium:1.3.2/|80004||||||
73.161.0.9|/Verium:1.3.2/|80004||||||
73.74.19.155|/Verium:1.3.2/|80004||||||
74.123.47.48|/Verium:1.3.1/|80003||||||
74.139.240.244|/Verium:1.3.2/|80004||||||
74.194.156.4|/Verium:1.3.2/|80004||||||
74.51.213.194|/Verium:1.3.2/|80004||||||
75.188.122.90|/Verium:1.3.1/|80003||||||
76.82.246.244|/Verium:1.3.2/|80004||||||
77.50.8.126|/Vericonomy:2.0.1.5/|90001||||||
78.28.212.254|/Verium:1.3.2/|80004||||||
79.100.51.15|/Verium:1.3.2/|80004||||||
80.229.22.65|/Verium:1.3.2/|80004||||||
81.157.132.212|/Vericonomy:2.0.1.5/|90001||||||
82.64.130.223|/Verium:1.3.2/|80004||||||
82.70.129.110|/Verium:1.3.1/|80003||||||
83.253.14.5|/Verium:1.3.2/|80004||||||
84.113.159.205|/Verium:1.3.2/|80004||||||
84.121.161.187|/Verium:1.3.2/|80004||||||
84.74.169.158|/Verium:1.3.2/|80004||||||
85.105.16.99|/Verium:1.3.2/|80004||||||
85.235.162.126|/Vericonomy:2.0.1.5/|90001||||||
86.134.249.195|/Vericonomy:2.0.1.5/|90001||||||
86.23.65.75|/Verium:1.3.2/|80004||||||
86.85.157.170|/Verium:1.3.2/|80004||||||
87.0.249.111|/Verium:1.3.2/|80004||||||
87.121.92.159|/Vericonomy:2.0.1.5/|90001||||||
89.56.183.56|/Verium:1.3.2/|80004||||||
91.121.221.200|/Verium:1.3.2/|80004||||||
91.64.136.26|/Verium:1.3.2/|80004||||||
92.154.114.97|/Veritoshi:1.2/|80001||||||
92.220.86.6|/Verium:1.3.2/|80004||||||
94.203.166.127|/Verium:1.3.2/|80004||||||
95.172.231.65|/Verium:1.3.2/|80004||||||
98.207.108.16|/Verium:1.3.2/|80004||||||
99.249.240.200|/Veritoshi:1.1/|80001||||||
