# https://chainz.cryptoid.info/ and whois results
# Vertcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.252.19.245|/Satoshi:0.17.1/|70015||||||
1.54.252.181|/Satoshi:0.18.0/|70016||||||
104.238.220.119|Satoshi:0.17.1|70016||||||
108.167.97.14|/Satoshi:0.18.0/|70016||||||
109.170.246.114|/Satoshi:0.17.1/|70015||||||
116.255.4.178|/Satoshi:0.18.0/|70016||||||
118.99.110.247|/Satoshi:0.17.1/|70015||||||
120.152.1.83|/Satoshi:0.17.1/|70015||||||
126.235.36.184|/Satoshi:0.17.1/|70015||||||
134.195.44.184|/Satoshi:0.17.1/|70015||||||
135.129.242.98|/Satoshi:0.17.1/|70015||||||
136.228.113.148|/Satoshi:0.18.0/|70016||||||
138.255.144.90|/Satoshi:0.17.1/|70015||||||
142.59.142.226|/Satoshi:0.17.0/|70015||||||
142.68.66.123|/Satoshi:0.14.0/|70015||||||
143.198.121.253|Satoshi:0.17.1|70016||||||
143.198.164.157|Satoshi:0.17.1|70016||||||
145.82.32.72|/Satoshi:0.17.1/|70015||||||
145.82.33.71|/Satoshi:0.17.1/|70015||||||
147.12.14.186|/Satoshi:0.17.1/|70015||||||
147.219.19.13|/Satoshi:0.17.1/|70015||||||
152.208.110.95|/Satoshi:0.17.1/|70015||||||
156.146.49.146|/Satoshi:0.17.1/|70015||||||
159.203.91.94|/Satoshi:0.14.0/|70015||||||
159.69.39.213|/Satoshi:0.17.1/|70015||||||
166.181.84.49|/Satoshi:0.17.1/|70015||||||
168.119.240.8|/Satoshi:0.17.1/|70015||||||
173.198.248.34|/Satoshi:0.18.0/|70016||||||
173.80.143.1|/Satoshi:0.17.1/|70015||||||
173.80.164.214|/Satoshi:0.18.0/|70016||||||
173.95.148.105|/Satoshi:0.17.1/|70015||||||
174.0.148.86|/Satoshi:0.17.1/|70015||||||
174.100.104.154|/Satoshi:0.17.1/|70015||||||
174.247.3.5|/Satoshi:0.17.1/|70015||||||
176.241.193.94|/Satoshi:0.17.1/|70015||||||
176.37.66.237|/Satoshi:0.17.1/|70015||||||
176.9.148.171|/Satoshi:0.17.1/|70015||||||
176.93.230.1|/Satoshi:0.18.0/|70016||||||
178.238.224.213|/Satoshi:0.14.0/|70015||||||
178.63.16.52|/Satoshi:0.15.0.1/|70015||||||
180.72.164.248|/Satoshi:0.17.1/|70015||||||
182.55.97.55|/Satoshi:0.17.1/|70015||||||
184.169.119.198|/Satoshi:0.17.1/|70015|11232|184.169.112.0/20|US|arin|2015-04-20|MIDCO-NET, US
184.19.25.187|/Satoshi:0.17.1/|70015|5650|184.16.0.0/14|US|arin|2009-09-22|FRONTIER-FRTR, US
185.246.209.51|/Satoshi:0.17.1/|70015||||||
188.126.89.110|/Satoshi:0.17.1/|70015||||||
188.182.154.131|/Satoshi:0.18.0/|70016||||||
188.234.213.88|/Satoshi:0.17.1/|70015|51604|188.234.192.0/18|RU|ripencc|2011-01-26|EKAT-AS, RU
189.113.74.136|/Satoshi:0.17.1/|70015|28210|189.113.64.0/20|BR|lacnic|2008-05-12|SUMICITY TELECOMUNICACOES S.A., BR
190.2.133.224|/Satoshi:0.17.1/|70015|49981|190.2.128.0/20|CW|lacnic|2006-04-28|WORLDSTREAM, NL
190.249.250.178|/Satoshi:0.17.1/|70015|13489|190.248.0.0/14|CO|lacnic|2008-03-03|EPM Telecomunicaciones S.A. E.S.P., CO
191.96.106.35|/Satoshi:0.17.1/|70015|174|191.96.106.0/24|CL|lacnic|2013-10-24|COGENT-174, US
195.201.176.91|/Satoshi:0.9.0.2/|70002||||||
198.27.82.41|/Satoshi:0.12.0/|70015||||||
199.127.62.235|Satoshi:0.17.1|70016||||||
199.187.211.169|/Satoshi:0.17.1/|70015|46562|199.187.211.0/24|US|arin|2011-07-26|PERFORMIVE, US
199.195.250.77|/Satoshi:0.15.0.1/|70015||||||
201.213.245.185|/Satoshi:0.17.1/|70015|7303|201.213.0.0/16|AR|lacnic|2006-02-09|Telecom Argentina S.A., AR
203.184.52.124|/Satoshi:0.17.1/|70015||||||
206.195.93.111|/Satoshi:0.17.1/|70015||||||
207.134.216.145|/Satoshi:0.17.1/|70015||||||
208.123.35.190|/Satoshi:0.17.1/|70015||||||
209.145.60.220|/Satoshi:0.17.1/|70015||||||
212.175.81.34|/Satoshi:0.17.1/|70015||||||
216.66.115.52|/Satoshi:0.17.1/|70015||||||
217.31.185.97|/Satoshi:0.18.0/|70016||||||
218.214.223.73|/Satoshi:0.17.1/|70015||||||
23.126.192.177|/Satoshi:0.18.0/|70016||||||
23.28.120.247|/Satoshi:0.17.1/|70015||||||
24.14.65.183|/Satoshi:0.11.1/|70015||||||
24.50.220.118|/Satoshi:0.17.0/|70015||||||
24.62.210.90|/Satoshi:0.17.1/|70015||||||
24.84.236.166|/Satoshi:0.17.1/|70015||||||
31.25.241.224|/Satoshi:0.18.0/|70016||||||
35.132.140.136|/Satoshi:0.17.1/|70015||||||
35.204.101.105|/Satoshi:0.17.1/|70015||||||
37.19.196.182|/Satoshi:0.18.0/|70016||||||
37.48.64.226|/Satoshi:0.18.0/|70016||||||
40.122.203.102|/Satoshi:0.17.1/|70015||||||
45.126.209.106|Satoshi:0.17.1|70016||||||
45.67.159.120|/Satoshi:0.17.1/|70015||||||
45.83.89.132|/Satoshi:0.17.1/|70015||||||
46.101.235.143|/Satoshi:0.14.0/|70015||||||
46.216.153.60|/Satoshi:0.17.1/|70015||||||
46.216.188.168|/Satoshi:0.17.1/|70015||||||
46.4.121.221|/Satoshi:0.17.1/|70015||||||
47.132.211.112|/Satoshi:0.17.1/|70015||||||
47.144.10.114|/Satoshi:0.18.0/|70016||||||
5.156.219.39|/Satoshi:0.17.1/|70015||||||
5.188.104.245|/Satoshi:0.18.0/|70016||||||
50.198.17.49|/Satoshi:0.17.1/|70015||||||
50.34.53.199|/Satoshi:0.11.1/|70015||||||
50.91.67.184|/Satoshi:0.17.1/|70015||||||
58.110.186.42|/Satoshi:0.14.0/|70015||||||
58.182.73.224|/Satoshi:0.17.1/|70015||||||
62.16.209.243|/Satoshi:0.18.0/|70016||||||
62.171.190.193|/Satoshi:0.17.1/|70015||||||
63.231.148.217|/Satoshi:0.18.0/|70016||||||
65.21.137.242|/Satoshi:0.17.1/|70015||||||
65.33.16.92|/Satoshi:0.18.0/|70016||||||
66.183.228.177|/Satoshi:0.17.1/|70015||||||
66.94.103.23|/Satoshi:0.17.1/|70015||||||
67.171.97.242|/Satoshi:0.17.1/|70015||||||
68.132.124.80|/Satoshi:0.17.1/|70015||||||
68.149.174.126|/Satoshi:0.17.1/|70015||||||
68.169.141.145|/Satoshi:0.17.1/|70015||||||
68.47.101.33|/Satoshi:0.17.1/|70015||||||
68.49.155.220|/Satoshi:0.14.0/|70015||||||
70.180.241.53|/Satoshi:0.17.1/|70015||||||
70.230.125.217|/Satoshi:0.17.1/|70015||||||
70.50.80.18|/Satoshi:0.17.1/|70015||||||
70.81.82.122|/Satoshi:0.17.1/|70015||||||
71.172.154.70|/Satoshi:0.17.1/|70015||||||
73.172.70.60|/Satoshi:0.18.0/|70016||||||
73.206.128.122|/Satoshi:0.17.1/|70015||||||
73.221.170.226|/Satoshi:0.17.1/|70015||||||
73.38.184.184|/Satoshi:0.17.1/|70015||||||
73.97.97.9|/Satoshi:0.17.1/|70015||||||
74.138.77.65|/Satoshi:0.17.1/|70015||||||
74.14.179.219|/Satoshi:0.17.1/|70015||||||
74.33.84.32|/Satoshi:0.11.1/|70015||||||
75.18.50.51|/Satoshi:0.17.1/|70015||||||
75.87.199.1|/Satoshi:0.17.1/|70015||||||
76.10.130.32|/Satoshi:0.18.0/|70016||||||
76.22.217.253|/Satoshi:0.17.1/|70015||||||
78.121.66.76|/Satoshi:0.18.0/|70016||||||
78.13.98.10|/Satoshi:0.17.1/|70015||||||
78.184.192.83|/Satoshi:0.17.1/|70015||||||
78.47.40.114|/Satoshi:0.17.1/|70015||||||
80.1.39.103|/Satoshi:0.17.1/|70015||||||
80.141.42.250|/Satoshi:0.18.0/|70016||||||
80.65.23.139|/Satoshi:0.18.0/|70016||||||
81.175.152.253|/Satoshi:0.17.1/|70015||||||
82.154.152.128|/Satoshi:0.17.1/|70015||||||
82.164.154.187|/Satoshi:0.17.1/|70015||||||
82.2.181.156|/Satoshi:0.18.0/|70016||||||
82.22.6.3|/Satoshi:0.17.1/|70015||||||
82.66.47.169|/Satoshi:0.17.1/|70015||||||
82.68.49.46|/Satoshi:0.17.1/|70015||||||
84.17.55.5|/Satoshi:0.17.1/|70015||||||
84.2.34.93|/Satoshi:0.17.1/|70015||||||
84.49.185.154|/Satoshi:0.17.1/|70015||||||
86.28.153.58|/Satoshi:0.11.1/|70015||||||
86.57.135.17|/Satoshi:0.17.1/|70015||||||
88.130.85.142|/Satoshi:0.18.0/|70016||||||
88.152.204.59|/Satoshi:0.15.1/|70015||||||
88.207.47.88|/Satoshi:0.17.1/|70015||||||
88.241.169.210|/Satoshi:0.17.1/|70015||||||
88.88.34.176|/Satoshi:0.17.1/|70015||||||
89.187.180.23|/Satoshi:0.17.1/|70015||||||
89.187.180.37|/Satoshi:0.17.1/|70015||||||
90.203.213.196|/Satoshi:0.17.1/|70015||||||
90.91.66.63|/Satoshi:0.18.0/|70016||||||
91.125.61.67|/Satoshi:0.17.1/|70015||||||
91.198.175.1|/Satoshi:0.17.1/|70015||||||
91.245.254.196|/Satoshi:0.18.0/|70016||||||
94.214.225.93|/Satoshi:0.17.1/|70015||||||
95.130.30.109|/Satoshi:0.17.1/|70015||||||
95.149.127.8|/Satoshi:0.17.1/|70015||||||
95.181.232.6|/Satoshi:0.18.0/|70016||||||
95.217.78.168|/Satoshi:0.17.1/|70015||||||
95.26.4.241|/Satoshi:0.14.0/|70015||||||
95.41.23.203|/Satoshi:0.14.0/|70015||||||
96.19.166.16|/Satoshi:0.17.0/|70015||||||
97.81.3.180|/Satoshi:0.17.1/|70015||||||
98.190.216.165|/Satoshi:0.17.1/|70015||||||
98.203.82.233|/Satoshi:0.14.0/|70015||||||
98.97.58.212|/Satoshi:0.17.1/|70015||||||
