# https://chainz.cryptoid.info/ and whois results
# XCurrency
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
138.68.158.197|/XCurrency Core:3.0.4/|70711|14061|138.68.144.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
178.143.62.165|/XCurrency Core:3.0.5/|70711|15962|178.143.0.0/16|SK|ripencc|2010-08-04|OSK-DNI Slovakia, SK
178.198.44.144|/XCurrency Core:3.0.5/|70711|3303|178.198.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
207.244.105.45|/XCurrency Core:3.0.5/|70711|30633|207.244.64.0/18|US|arin|1996-11-15|LEASEWEB-USA-WDC, US
46.101.235.143|/XCurrency Core:3.0.5/|70711||||||
46.4.121.221|/XCurrency Core:3.0.5/|70711||||||
46.59.40.91|/XCurrency Core:3.0.5/|70711||||||
73.179.198.55|/XCurrency Core:3.0.5/|70711||||||
84.180.81.40|/XCurrency Core:3.0.5/|70711||||||
88.130.79.195|/XCurrency Core:3.0.5/|70711|8881|88.130.64.0/20|DE|ripencc|2005-10-17|VERSATEL, DE
89.247.36.222|/XCurrency Core:3.0.5/|70711|8881|89.247.32.0/20|DE|ripencc|2006-05-04|VERSATEL, DE
91.100.31.98|/XCurrency Core:3.0.5/|70711||||||
94.255.130.14|/XCurrency Core:3.0.5/|70711||||||
96.250.212.49|/XCurrency Core:3.0.5/|70711||||||
98.97.100.216|/XCurrency Core:3.0.5/|70711||||||
