# https://chainz.cryptoid.info/ and whois results
# JouleCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
176.37.31.67|/Satoshi:0.10.4.2/|70003|39608|176.37.0.0/16|UA|ripencc|2011-05-20|LANETUA-AS, UA
46.101.235.143|/Satoshi:0.10.4.2/|70003||||||
62.251.60.3|/Satoshi:0.10.4.3/|70003|3265|62.251.0.0/17|NL|ripencc|2001-01-03|XS4ALL-NL Amsterdam, NL
74.14.204.118|/Satoshi:0.10.4.3/|70003||||||
77.239.57.159|/Satoshi:0.10.4.2/|70003||||||
80.101.161.68|/Satoshi:0.10.4.3/|70003|3265|80.100.0.0/15|NL|ripencc|2001-07-16|XS4ALL-NL Amsterdam, NL
82.161.34.149|/Satoshi:0.10.4.3/|70003||||||
85.15.179.171|/Satoshi:0.10.4.3/|70003||||||
91.121.221.92|/Satoshi:0.10.4.3/|70003|16276|91.121.0.0/16|FR|ripencc|2006-09-20|OVH, FR
91.206.16.214|/Satoshi:0.10.4.3/|70003||||||
98.46.109.120|/Satoshi:0.10.4.3/|70003|7922|98.32.0.0/11|US|arin|2007-06-06|COMCAST-7922, US
98.46.110.199|/Satoshi:0.10.4.3/|70003|7922|98.32.0.0/11|US|arin|2007-06-06|COMCAST-7922, US
98.46.111.55|/Satoshi:0.10.4.3/|70003|7922|98.32.0.0/11|US|arin|2007-06-06|COMCAST-7922, US
