# https://chainz.cryptoid.info/ and whois results
# Myriad
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
124.122.68.23|/Satoshi:0.18.1/|70015||||||
139.162.18.250|/Satoshi:0.18.1/|70015||||||
142.112.0.42|/Satoshi:0.18.1/|70015||||||
147.135.97.55|/Satoshi:0.18.1/|70015|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.56.155.28|/Satoshi:0.18.1/|70015||||||
158.69.25.32|/Satoshi:0.18.1/|70015|16276|158.69.0.0/16|CA|arin|2015-06-15|OVH, FR
161.97.141.29|/Satoshi:0.18.1/|70015||||||
168.119.79.89|/Satoshi:0.18.1/|70015||||||
172.104.97.232|/Satoshi:0.18.1/|70015||||||
172.58.172.133|/Satoshi:0.16.4/|70015|21928|172.58.168.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.7.65|/Satoshi:0.16.4/|70015|21928|172.58.0.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
173.212.202.33|/Satoshi:0.16.4/|70015||||||
185.220.100.241|/Satoshi:0.19.0.1/|70015||||||
190.96.1.19|/Satoshi:0.16.4.1/|70015||||||
193.70.35.154|/Satoshi:0.16.4/|70015||||||
194.195.120.81|/Satoshi:0.18.1/|70015||||||
199.241.187.130|/Satoshi:0.18.1/|70015||||||
203.202.250.195|/Satoshi:0.18.1/|70015||||||
208.94.242.218|/Satoshi:0.16.4.1/|70015||||||
209.94.191.212|/Satoshi:0.18.1/|70015||||||
212.71.248.125|/Satoshi:0.18.1/|70015||||||
216.188.233.105|/Satoshi:0.18.1/|70015||||||
24.191.32.34|/Satoshi:0.18.1/|70015||||||
3.121.247.139|/Satoshi:0.16.4/|70015||||||
31.25.241.224|/Satoshi:0.14.5/|70015||||||
37.186.33.224|/Satoshi:0.18.1/|70015||||||
40.115.13.33|/Satoshi:0.16.4/|70015||||||
43.227.255.124|/Satoshi:0.16.4/|70015||||||
45.18.94.250|/Satoshi:0.18.1/|70015||||||
46.23.35.70|/Satoshi:0.16.4/|70015||||||
51.15.16.53|/Satoshi:0.18.1/|70015||||||
51.83.186.57|/Satoshi:0.16.4/|70015||||||
54.37.139.32|/Satoshi:0.16.4.1/|70015||||||
64.225.65.218|/Satoshi:0.18.1/|70015|14061|64.225.64.0/20|US|arin|2019-08-14|DIGITALOCEAN-ASN, US
67.199.179.49|/Satoshi:0.18.1/|70015||||||
73.204.228.144|/Satoshi:0.16.4.1/|70015||||||
75.185.174.32|/Satoshi:0.18.1/|70015||||||
75.19.27.27|/Satoshi:0.18.1/|70015||||||
75.19.27.28|/Satoshi:0.18.1/|70015||||||
77.183.59.177|/Satoshi:0.18.1/|70015|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
89.189.0.226|/Satoshi:0.16.4/|70015||||||
91.206.16.214|/Satoshi:0.18.1/|70015||||||
94.19.132.255|/Satoshi:0.14.5.1/|70015||||||
95.216.151.0|/Satoshi:0.18.1/|70015|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
98.203.82.233|/Satoshi:0.16.3/|70015||||||
98.23.212.176|/Satoshi:0.18.1/|70015|7029|98.16.0.0/13|US|arin|2007-02-05|WINDSTREAM, US
