# https://chainz.cryptoid.info/ and whois results
# Experience Points
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
106.157.215.31|/eXperience Points Core:5.2.0.2/|70922|2516|106.128.0.0/11|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
106.72.192.224|/eXperience Points Core:5.2.0.2/|70922|2516|106.72.0.0/15|JP|apnic|2011-04-05|KDDI KDDI CORPORATION, JP
114.190.208.141|/eXperience Points Core:5.2.0.2/|70922|4713|114.160.0.0/11|JP|apnic|2008-06-12|OCN NTT Communications Corporation, JP
115.36.228.98|/eXperience Points Core:5.2.0.2/|70922|18126|115.36.0.0/16|JP|apnic|2008-07-08|CTCX Chubu Telecommunications Company, Inc., JP
118.156.228.173|/eXperience Points Core:5.2.0.3/|70922||||||
119.171.52.54|/eXperience Points Core:5.2.0.3/|70922||||||
119.172.208.65|/eXperience Points Core:5.2.0.2/|70922|9824|119.172.128.0/17|JP|apnic|2008-02-26|JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP
126.74.116.41|/eXperience Points Core:5.2.0.3/|70922||||||
139.59.17.54|/eXperience Points Core:5.2.0.2/|70922|14061|139.59.16.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
14.11.202.0|/eXperience Points Core:5.2.0.2/|70922|2516|14.10.0.0/15|JP|apnic|2010-08-17|KDDI KDDI CORPORATION, JP
140.227.161.156|/eXperience Points Core:5.2.0.2/|70922|2514|140.227.0.0/16|JP|apnic|1990-06-21|INFOSPHERE NTT PC Communications, Inc., JP
144.91.104.91|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.105.177|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.108.149|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.108.27|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.121.178|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.122.235|/eXperience Points Core:5.2.0.3/|70922||||||
144.91.81.185|/eXperience Points Core:5.2.0.3/|70922||||||
150.66.16.85|/eXperience Points Core:5.2.0.3/|70922||||||
159.65.239.15|/eXperience Points Core:5.2.0.2/|70922|14061|159.65.224.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
160.16.94.56|/XP2-Core-CVMU:5.2.0.2/|70922|9370|160.16.0.0/17|JP|apnic|1992-06-10|SAKURA-B SAKURA Internet Inc., JP
160.86.171.134|/eXperience Points Core:5.2.0.2/|70922|2527|160.86.0.0/16|JP|apnic|1992-04-29|SO-NET Sony Network Communications Inc., JP
161.97.130.109|/eXperience Points Core:5.2.0.2/|70922|51167|161.97.128.0/19|DE|ripencc|1992-06-23|CONTABO, DE
161.97.166.81|/eXperience Points Core:5.2.0.3/|70922||||||
161.97.166.84|/eXperience Points Core:5.2.0.3/|70922||||||
161.97.169.245|/eXperience Points Core:5.2.0.3/|70922||||||
161.97.176.213|/eXperience Points Core:5.2.0.3/|70922||||||
161.97.176.217|/eXperience Points Core:5.2.0.3/|70922||||||
161.97.97.29|/eXperience Points Core:5.2.0.3/|70922|51167|161.97.96.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.97.33|/eXperience Points Core:5.2.0.3/|70922|51167|161.97.96.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.97.34|/eXperience Points Core:5.2.0.3/|70922|51167|161.97.96.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.97.39|/eXperience Points Core:5.2.0.3/|70922|51167|161.97.96.0/23|DE|ripencc|1992-06-23|CONTABO, DE
164.68.102.159|/eXperience Points Core:5.2.0.2/|70922|51167|164.68.102.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.112.216|/eXperience Points Core:5.2.0.2/|70922|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.179.72.181|/eXperience Points Core:5.2.0.2/|70922|20473|167.179.64.0/18|US|apnic|1993-09-08|AS-CHOOPA, US
167.86.124.246|/eXperience Points Core:5.2.0.3/|70922|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.85.147|/eXperience Points Core:5.2.0.2/|70922|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.88.189|/eXperience Points Core:5.2.0.3/|70922|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.235.141|/eXperience Points Core:5.2.0.3/|70922||||||
173.212.236.11|/eXperience Points Core:5.2.0.3/|70922||||||
173.249.27.22|/eXperience Points Core:5.2.0.3/|70922||||||
173.249.33.139|/eXperience Points Core:5.2.0.2/|70922|51167|173.249.32.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.45.2|/eXperience Points Core:5.2.0.3/|70922||||||
173.249.5.141|/eXperience Points Core:5.2.0.3/|70922||||||
173.249.53.98|/eXperience Points Core:5.2.0.3/|70922||||||
173.249.7.6|/eXperience Points Core:5.2.0.3/|70922||||||
176.63.96.18|/eXperience Points Core:5.2.0.3/|70922|21334|176.63.0.0/17|HU|ripencc|2011-06-08|ASN-VODAFONE-, HU
178.18.244.204|/eXperience Points Core:5.2.0.3/|70922|51167|178.18.240.0/20|DE|ripencc|2010-04-27|CONTABO, DE
178.197.249.39|/eXperience Points Core:5.2.0.2/|70922|3303|178.196.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
185.141.61.178|???|0|44901|185.141.61.0/24|CY|ripencc|2018-02-23|BELCLOUD, BG
185.193.66.91|/eXperience Points Core:5.2.0.2/|70922|51167|185.193.66.0/23|DE|ripencc|2017-03-07|CONTABO, DE
185.206.146.68|???|0|44901|185.206.146.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.209.230.9|/eXperience Points Core:5.2.0.2/|70922|51167|185.209.230.0/24|DE|ripencc|2017-06-23|CONTABO, DE
185.213.27.218|/eXperience Points Core:5.2.0.3/|70922|51167|185.213.27.0/24|DE|ripencc|2017-07-14|CONTABO, DE
192.3.157.49|/eXperience Points Core:5.2.0.2/|70922|36352|192.3.156.0/23|US|arin|2013-06-07|AS-COLOCROSSING, US
194.163.139.187|/eXperience Points Core:5.2.0.3/|70922|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
194.163.140.57|/eXperience Points Core:5.2.0.3/|70922|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
194.163.144.239|/eXperience Points Core:5.2.0.2/|70922|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
194.163.174.175|/eXperience Points Core:5.2.0.2/|70922|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
202.8.211.76|/eXperience Points Core:5.2.0.3/|70922|7524|202.8.208.0/21|JP|apnic|2004-06-08|HANSHIN ITEC HANKYU HANSHIN CO.,LTD., JP
207.180.200.217|/eXperience Points Core:5.2.0.3/|70922|51167|207.180.200.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.200.78|/eXperience Points Core:5.2.0.2/|70922|51167|207.180.200.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.225.117|/eXperience Points Core:5.2.0.2/|70922|51167|207.180.224.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.244.167|/eXperience Points Core:5.2.0.2/|70922|51167|207.180.244.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.248.19|/eXperience Points Core:5.2.0.3/|70922|51167|207.180.248.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.250.15|/eXperience Points Core:5.2.0.3/|70922|51167|207.180.250.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.216.224.187|/eXperience Points Core:5.2.0.3/|70922|852|207.216.0.0/16|CA|arin|1996-10-04|TELUS Communications, CA
211.1.223.40|/eXperience Points Core:5.2.0.3/|70922|9354|211.1.192.0/19|JP|apnic|1999-08-27|TDNC Community Network Center Inc., JP
211.228.232.184|/eXperience Points Core:5.2.0.2/|70922|4766|211.224.0.0/13|KR|apnic|2000-12-12|KIXS-AS-KR Korea Telecom, KR
211.23.128.57|/eXperience Points Core:5.2.0.3/|70922|3462|211.23.0.0/16|TW|apnic|2000-06-30|HINET Data Communication Business Group, TW
211.244.165.36|/eXperience Points Core:5.2.0.2/|70922|9318|211.244.0.0/16|KR|apnic|2000-09-08|SKB-AS SK Broadband Co Ltd, KR
213.136.74.158|/eXperience Points Core:5.2.0.3/|70922|51167|213.136.74.0/23|DE|ripencc|2000-02-28|CONTABO, DE
213.178.34.183|/eXperience Points Core:5.2.0.3/|70922|8439|213.178.32.0/21|RU|ripencc|2008-01-17|AIST Togliatti, Russia, RU
23.92.31.197|/eXperience Points Core:5.2.0.3/|70922|63949|23.92.28.0/22|US|arin|2013-08-13|LINODE-AP Linode, LLC, US
24.138.134.12|/eXperience Points Core:5.2.0.2/|70922|11260|24.138.128.0/19|CA|arin|2005-10-12|EASTLINK-HSI, CA
45.76.58.216|/eXperience Points Core:5.2.0.2/|70922|20473|45.76.56.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.79.212.251|/eXperience Points Core:5.2.0.3/|70922|63949|45.79.192.0/19|US|arin|2015-04-29|LINODE-AP Linode, LLC, US
45.79.223.88|/eXperience Points Core:5.2.0.3/|70922|63949|45.79.192.0/19|US|arin|2015-04-29|LINODE-AP Linode, LLC, US
