# https://chainz.cryptoid.info/ and whois results
# ZENZO
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.191.117.118|/ZENZO Core:2.0.0/|70005||||||
108.160.138.236|/ZENZO Core:2.1.0/|70005||||||
109.132.146.48|/ZENZO Core:2.1.0/|70005||||||
115.39.238.132|/ZENZO Core:2.1.0/|70005||||||
125.162.208.251|/ZENZO Core:2.1.0/|70005||||||
135.181.132.16|/ZENZO Core:2.1.0/|70005||||||
135.181.164.190|/ZENZO Core:2.1.0/|70005||||||
140.213.195.215|/ZENZO Core:2.1.0/|70005||||||
144.76.97.21|/ZENZO Core:2.1.0/|70005||||||
144.91.106.129|/ZENZO Core:2.1.0/|70005||||||
144.91.116.146|/ZENZO Core:2.1.0/|70005||||||
144.91.83.33|/ZENZO Core:2.1.0/|70005||||||
145.239.64.148|/ZENZO Core:2.1.0/|70005||||||
153.230.127.166|/ZENZO Core:2.1.0/|70005||||||
161.97.127.56|/ZENZO Core:2.1.0/|70005||||||
161.97.151.254|/ZENZO Core:2.1.0/|70005||||||
161.97.66.95|/ZENZO Core:2.0.0/|70005||||||
161.97.79.101|/ZENZO Core:2.1.0/|70005||||||
161.97.97.34|/ZENZO Core:2.1.0/|70005||||||
161.97.97.35|/ZENZO Core:2.1.0/|70005||||||
161.97.97.42|/ZENZO Core:2.1.0/|70005||||||
164.68.100.155|/ZENZO Core:2.0.1/|70005||||||
164.68.102.142|/ZENZO Core:2.1.0/|70005||||||
164.68.102.169|/ZENZO Core:2.1.0/|70005||||||
164.68.103.63|/ZENZO Core:2.0.1/|70005||||||
164.68.112.229|/ZENZO Core:2.1.0/|70005||||||
164.68.115.32|/ZENZO Core:2.1.0/|70005||||||
164.68.99.212|/ZENZO Core:2.0.1/|70005||||||
167.86.107.227|/ZENZO Core:2.0.1/|70005||||||
167.86.107.229|/ZENZO Core:2.0.1/|70005||||||
167.86.107.231|/ZENZO Core:2.0.1/|70005||||||
167.86.108.93|/ZENZO Core:2.0.1/|70005||||||
167.86.111.183|/ZENZO Core:2.1.0/|70005||||||
167.86.113.200|/ZENZO Core:2.0.1/|70005||||||
167.86.114.169|/ZENZO Core:2.1.0/|70005||||||
167.86.125.223|/ZENZO Core:2.0.1/|70005||||||
167.86.127.214|/ZENZO Core:2.0.1/|70005||||||
167.86.87.57|/ZENZO Core:2.1.0/|70005||||||
167.86.93.42|/ZENZO Core:2.0.1/|70005||||||
167.86.95.121|/ZENZO Core:2.1.0/|70005||||||
167.86.97.122|/ZENZO Core:2.1.0/|70005||||||
167.88.124.22|/ZENZO Core:2.0.0/|70005||||||
173.212.207.52|/ZENZO Core:2.0.1/|70005||||||
173.212.223.64|/ZENZO Core:2.0.1/|70005||||||
173.212.248.162|/ZENZO Core:2.1.0/|70005||||||
173.212.251.138|/ZENZO Core:2.1.0/|70005||||||
173.249.14.174|/ZENZO Core:2.0.1/|70005||||||
173.249.18.163|/ZENZO Core:2.1.0/|70005||||||
173.249.21.247|/ZENZO Core:2.1.0/|70005||||||
173.249.42.127|/ZENZO Core:2.0.1/|70005||||||
173.249.8.225|/ZENZO Core:2.0.1/|70005||||||
178.18.240.65|/ZENZO Core:2.1.0/|70005||||||
178.18.244.31|/ZENZO Core:2.1.0/|70005||||||
178.3.253.238|/ZENZO Core:2.0.0/|70005||||||
178.83.130.73|/ZENZO Core:2.1.0/|70005||||||
185.202.236.131|/ZENZO Core:2.1.0/|70005||||||
185.216.203.62|/ZENZO Core:2.1.0/|70005||||||
188.40.92.108|/ZENZO Core:2.1.0/|70005||||||
194.163.140.57|/ZENZO Core:2.1.0/|70005||||||
194.163.141.85|/ZENZO Core:2.1.0/|70005||||||
194.163.144.226|/ZENZO Core:2.1.0/|70005||||||
195.162.100.226|/ZENZO Core:2.1.0/|70005||||||
202.32.14.177|/ZENZO Core:2.1.0/|70005||||||
202.8.211.76|/ZENZO Core:2.1.0/|70005||||||
207.180.229.173|/ZENZO Core:2.1.0/|70005||||||
209.126.81.51|/ZENZO Core:2.1.0/|70005||||||
209.126.81.55|/ZENZO Core:2.1.0/|70005||||||
209.126.81.57|/ZENZO Core:2.1.0/|70005||||||
209.182.216.217|/ZENZO Core:2.1.0/|70005||||||
213.123.8.97|/ZENZO Core:2.0.1/|70005||||||
213.136.71.135|/ZENZO Core:2.1.0/|70005||||||
31.31.21.170|/ZENZO Core:2.1.0/|70005||||||
37.26.143.89|/ZENZO Core:2.0.1/|70005||||||
45.32.237.192|/ZENZO Core:2.0.1/|70005||||||
45.32.35.173|/ZENZO Core:2.0.1/|70005||||||
45.76.211.110|/ZENZO Core:2.1.0/|70005||||||
46.151.159.53|/ZENZO Core:2.1.0/|70005||||||
5.135.136.102|/ZENZO Core:2.0.0/|70005||||||
